,Source (B)
11,"https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film
"
31,"https://www.ted.com/talks/eva_vertes_looks_to_the_future_of_medicine
"
32,"https://www.ted.com/talks/aubrey_de_grey_says_we_can_avoid_aging
"
38,"https://www.ted.com/talks/ben_saunders_skis_to_the_north_pole
"
46,"https://www.ted.com/talks/peter_gabriel_fights_injustice_with_video
"
63,"https://www.ted.com/talks/e_o_wilson_on_saving_life_on_earth
"
75,"https://www.ted.com/talks/nora_york_sings_what_i_want
"
83,"https://www.ted.com/talks/frans_lanting_s_lyrical_nature_photos
"
104,"https://www.ted.com/talks/stewart_brand_on_squatter_cities
"
116,"https://www.ted.com/talks/bill_stone_explores_the_earth_and_space
"
119,"https://www.ted.com/talks/jonathan_harris_tells_the_web_s_secret_stories
"
120,"https://www.ted.com/talks/emily_oster_flips_our_thinking_on_aids_in_africa
"
124,"https://www.ted.com/talks/allison_hunt_gets_a_new_hip
"
140,"https://www.ted.com/talks/deborah_scranton_on_her_war_tapes
"
176,"https://www.ted.com/talks/raul_midon_plays_all_the_answers_and_tembererana
"
184,"https://www.ted.com/talks/david_macaulay_s_rome_antics
"
192,"https://www.ted.com/talks/joseph_lekuton_tells_a_parable_for_kenya
"
195,"https://www.ted.com/talks/alan_kay_shares_a_powerful_idea_about_ideas
"
198,"https://www.ted.com/talks/jill_bolte_taylor_s_powerful_stroke_of_insight
"
209,"https://www.ted.com/talks/stephen_hawking_asks_big_questions_about_the_universe
"
215,"https://www.ted.com/talks/amy_tan_on_creativity
"
226,"https://www.ted.com/talks/robert_ballard_on_exploring_the_oceans
"
247,"https://www.ted.com/talks/corneille_ewango_is_a_hero_of_the_congo_forest
"
268,"https://www.ted.com/talks/spencer_wells_is_building_a_family_tree_for_all_humanity
"
289,"https://www.ted.com/talks/eve_ensler_on_security
"
297,"https://www.ted.com/talks/stefan_sagmeister_on_what_he_has_learned
"
323,"https://www.ted.com/talks/graham_hawkes_flies_through_the_ocean
"
335,"https://www.ted.com/talks/george_smoot_on_the_design_of_the_universe
"
355,"https://www.ted.com/talks/john_maeda_on_design
"
363,"https://www.ted.com/talks/paula_scher_gets_serious
"
369,"https://www.ted.com/talks/peter_ward_on_mass_extinctions
"
370,"https://www.ted.com/talks/aimee_mullins_on_running
"
376,"https://www.ted.com/talks/milton_glaser_on_using_design_to_make_ideas_new
"
387,"https://www.ted.com/talks/miru_kim_s_underground_art
"
401,"https://www.ted.com/talks/bruce_mccall_s_faux_nostalgia
"
408,"https://www.ted.com/talks/c_k_williams_reads_poetry_of_youth_and_age
"
410,"https://www.ted.com/talks/ueli_gegenschatz_extreme_wingsuit_jumping
"
411,"https://www.ted.com/talks/christopher_deam_restyles_the_airstream
"
421,"https://www.ted.com/talks/tim_ferriss_smash_fear_learn_anything
"
422,"https://www.ted.com/talks/matthew_childs_9_rules_of_rock_climbing
"
439,"https://www.ted.com/talks/hans_rosling_the_truth_about_hiv
"
441,"https://www.ted.com/talks/naturally_7_jams_fly_baby_with_an_orchestra_of_vocals
"
456,"https://www.ted.com/talks/pete_alcorn_s_vision_of_a_better_world
"
462,"https://www.ted.com/talks/jane_poynter_life_in_biosphere_2
"
469,"https://www.ted.com/talks/ray_zahab_treks_to_the_south_pole
"
478,"https://www.ted.com/talks/olafur_eliasson_playing_with_space_and_light
"
