WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,duration,views
3346,40.81,73.99,45.7,76.57,14.48,16.29,85.56,54.51,17.27,10.01,3.89,0.63,4.03,0.42,1.05,7.17,7.71,10.49,10.4,6.37,6.4,1.97,19.78,3.38,2.15,2.09,1.94,2.6,5.32,4.03,1.29,0.12,0.33,0.42,10.64,0,0.27,0.18,0.54,11.06,2.3,1.97,1.14,1.85,1.85,2.93,4.15,0.84,2.78,0.54,0.66,0.3,0.21,0,0.12,5.77,1.23,0.99,1.73,1.64,0.48,3.89,13.63,1.34,12.79,2.21,6.46,4.36,1.91,0.66,0.45,0.99,0.09,0.06,1.05,0.09,0.12,0.54,0.3,0.03,28.24,7.62,7.38,0.57,0.33,1.05,0.24,0.39,2.3,4.81,3.23,0.33,1286,1636292
1507,29.39,48.14,65.7,78.14,18.84,16.52,88.65,60.58,19.04,8.43,4.51,1.26,2.46,0.07,0.2,10.62,5.51,13.6,12.01,9.89,5.71,1,15.66,4.11,2.52,1.33,1,2.72,3.52,3.19,0.33,0.07,0,0.07,5.31,0,0.13,0,0.13,12.28,1.86,2.59,1,2.65,1.26,3.98,4.45,1.66,0.33,2.39,1.59,1.26,0.2,0,0.07,6.37,2.06,1,2.32,1.06,0.13,1,15.73,1.19,14.13,2.65,7.83,4.11,1.92,0.46,0.07,0.13,0,0,0.66,0,0.4,0.13,0.13,0,19.64,6.37,5.97,0.27,0.27,0.2,0,1.39,0,4.18,0.93,0.07,527,4531020
2609,44.52,79.61,21.24,55.39,19.62,15.37,87.39,59.1,18.24,8.47,1.46,2.87,2.22,0.34,1.57,9.77,7.28,13.53,9.97,6.82,7.36,1.3,17.71,3.79,2.3,2.11,2.03,1.53,3.49,2.53,0.96,0.04,0,0.31,9.12,0.11,0.11,0.15,0.38,11.81,2.18,2.91,1.99,1.84,0.92,3.18,1.99,0.88,0.42,0.57,2.15,0.08,0.65,0.08,1.42,8.7,3.26,1.88,2.22,1.46,0.42,3.87,13.19,0.65,11.73,1.92,7.24,3.14,3.22,0.8,0.23,1.26,0,0.15,0.31,0,0,0.11,0.15,0.04,15.68,5.79,4.6,0.19,0.08,0.46,0,0.77,0.31,2.76,0.69,0.04,906,1415724
3334,45.27,50.12,61.39,65.55,11.54,16.71,85.06,55.7,20.94,9.39,5.67,1.08,1.95,0.12,0.57,11.55,6.87,13.17,10.65,4.32,5.1,1.65,18.33,3.57,1.86,2.22,1.74,2.07,3.75,2.91,0.81,0.03,0.27,0.12,6.48,0.06,0.09,0.06,0.24,10.77,2.22,2.43,1.38,2.16,1.59,1.89,3.48,2.07,0.87,0.33,1.62,0.63,0.27,0.18,0.54,4.89,1.41,1.35,1.23,0.9,0.21,2.46,14.31,0.99,14.46,2.7,7.41,4.5,1.98,1.08,0.54,0.69,0.18,0.03,0.66,0.27,0.03,0.12,0.15,0.06,23.52,9.87,5.13,0.12,0.09,0.39,0,0.78,0.6,5.7,0.84,0,1170,1074081
3036,46.24,71.34,72.78,62.01,17.75,15.55,89.53,57.21,16.24,7.48,2.24,2.73,1.61,0,0.89,8.73,7.21,12.78,10.47,6.88,6.88,1.78,18.81,4.31,2.14,1.88,3.62,2.21,4.28,3.1,1.19,0.1,0.46,0.4,8.56,0.1,0.16,0.03,0.23,10.31,2.11,1.48,1.05,2.24,1.25,3.16,1.55,0.96,0.43,0.16,0.33,0.03,0.2,0.07,0.03,9.06,3.06,2.57,2.44,1.28,0.53,5.3,11.92,1.81,18.18,4.28,7.48,7.41,2.67,0.66,0.2,0.99,0.03,0.2,1.05,0.1,0,0.4,0.36,0.07,18.48,6.09,5.96,0.16,0.3,0.4,0,0.86,0.26,3.99,0.46,0,1177,2028451
3063,64.19,80.82,27.62,62.9,22.36,20.96,87.89,54.03,14.72,7.25,1.11,0.88,1.96,0.56,2.74,7.48,7.25,14.07,10.45,5.58,5.29,1.14,18.09,4.41,1.63,2.29,2.48,2.15,4.24,3.1,1.14,0.29,0.33,0.07,10.48,0.1,0.03,0.03,0.69,11.72,2.64,2.64,1.63,2.81,0.82,2.35,2.02,0.69,1.08,0.23,0.69,0.13,0.2,0.07,0.23,8.85,2.06,2.38,3.3,1.5,0.46,4.15,12.41,1.18,13.52,1.89,8.03,3.72,5.19,1.6,0.07,1.5,0.07,0.03,0.56,0,0.2,0.1,0.26,0,19.33,4.67,8.42,0.46,0.88,0.56,0.07,0.46,0.72,2.87,0.13,0.1,1141,1409327
2682,42.18,78.87,37.74,50.85,19.29,18.12,85.91,58.39,17.79,8.31,2.5,1.27,3.73,0.45,0.37,9.47,8.17,12.83,9.84,7.9,8.72,0.45,15.92,3.65,1.75,1.64,1.34,2.01,2.61,1.94,0.6,0.19,0.04,0.07,8.87,0.07,0.26,0.07,0.67,12.04,3.06,2.13,1.23,3.32,0.78,2.91,3.06,1.9,0.82,0.11,0.78,0.22,0.19,0,0.15,4.77,1.79,0.78,1.3,0.89,0.3,2.16,13.57,1.75,12.34,1.53,7.31,3.62,2.68,0.52,0.11,0.19,0.04,0,0.22,0,0.04,0,0.15,0.04,18.87,5.22,7.31,0.04,0.07,0.67,0,0.78,1.04,3.28,0.37,0.07,869,442553
3276,55.48,70.35,60.26,50.25,21.7,14.62,85.44,55.1,16.45,8.58,2.38,2.35,1.86,0.79,1.19,7.84,7.48,13.49,8.64,4.82,8.24,1.83,17.34,4,1.92,1.56,3.54,2.78,3.3,2.23,0.92,0.21,0.15,0.12,9.55,0,0.24,0.85,0.18,13.34,2.41,2.14,2.44,3.42,1.56,4.15,1.95,0.82,0.76,0.27,1.1,0.21,0.24,0,0.43,7.6,2.84,1.16,1.83,1.56,0.49,3.94,11.87,1.22,16.85,2.93,9.13,5.07,1.22,0.76,0.15,0.46,0,0.09,0.34,0.06,0,0.21,0.09,0,20.05,4.3,9.07,0.09,0.43,0.34,0,0.92,0.73,3.66,0.49,0.03,1207,680134
1916,49.76,52.09,66.4,87.5,17.74,16.44,88,59.55,17.64,9.19,4.59,0.42,2.19,0.68,1.3,8.4,7.72,13.99,8.98,7.78,7.36,0.99,17.01,4.85,2.51,1.2,1.72,2.09,5.79,4.65,1.04,0.21,0.26,0.21,7.15,0.05,0.16,0,0.68,10.65,2.35,1.1,1.04,2.19,1.62,3.65,4.02,1.88,1.88,0.16,0.68,0.42,0.16,0,0.1,4.96,0.73,1.3,1.3,1.67,0.26,4.8,10.28,1.04,14.67,1.72,8.14,5.17,2.3,0.89,0.31,0.26,0,0.05,0.42,0,0,0.05,0.37,0,23.38,6.32,8.04,0.52,0.21,0.21,0,0.1,2.51,2.77,2.71,0,930,1762302
3725,38.7,81.36,46.91,67.38,19.4,13.93,90.87,60.64,20.46,10.42,3.36,2.63,2.42,0.32,1.69,10.04,6.39,14.39,10.79,6.15,6.85,1.5,20,4.05,2.36,1.99,1.61,2.55,5.18,3.68,1.48,0.24,0.43,0.08,12.08,0.19,0.24,0.46,0.54,13.42,3.36,1.99,1.83,2.71,1.45,3.14,2.36,1.1,0.83,0.3,1.66,0.38,0.48,0.16,0.13,8.97,4.43,2.15,1.26,1.37,0.46,5.02,13.15,0.99,12.83,2.58,7.38,3.03,2.26,1.45,0.43,0.43,0.19,0.13,0.81,0.21,0,0.32,0.21,0.03,20.97,5.1,8.72,0.08,0.48,0.64,0,0.3,1.23,4.11,0.27,0.03,1204,867495
2486,46.3,85.68,41.76,54.55,15.44,17.34,89.22,58.53,20.03,9.37,2.05,3.18,1.85,0.4,1.89,10.66,7.88,13.15,9.13,7.2,6.19,0.72,17.58,3.06,1.13,2.01,1.65,2.53,2.61,2.05,0.52,0.04,0.2,0.04,11.3,0.24,0.2,0.32,0.48,13.84,3.26,2.78,1.05,3.06,1.89,2.74,2.9,1.89,0.48,0.32,2.29,0.88,1.17,0.16,0.12,8.57,4.18,1.45,2.53,0.84,0.08,4.02,11.06,0.76,13.15,2.05,8.09,3.1,1.77,0.48,0.36,0.32,0.16,0.04,0.36,0.16,0,0.16,0.04,0,19.71,6.44,7.08,0.32,0.08,0.6,0.04,0.76,0.97,3.18,0.24,0,850,761930
2327,50.18,52.75,59.72,60.81,17.24,17.02,87.97,59.22,18.69,10.36,6.02,0.21,2.23,0.82,1.07,8.34,7.56,13.36,9.58,5.84,6.83,0.86,18.69,3.82,2.41,1.38,1.85,2.19,3.44,2.62,0.77,0.04,0.34,0.17,7.95,0,0.21,0.04,1.03,13.41,3.52,3.01,1.16,2.36,1.07,2.84,3.61,2.49,0.43,0.56,1.2,0.43,0.17,0.04,0.52,5.63,0.82,2.23,1.55,0.99,0.13,7.31,9.84,0.56,12.08,1.89,5.93,4.38,1.76,1.12,0.09,0.77,0.26,0.09,0.17,0,0,0.04,0.17,0,18.56,6.36,6.66,0.09,0.13,0.13,0,0.34,1.8,2.28,0.69,0.09,891,1149090
1111,83.54,61.35,83.04,42.08,9.83,17.91,75.79,45.9,9.9,4.05,1.35,1.26,0.54,0,0.9,5.85,7.47,13.68,6.48,4.5,7.11,0.45,13.77,5.04,2.79,1.62,1.44,1.53,1.89,1.35,0.45,0.09,0.18,0.09,4.59,0.27,0,0.18,0.18,6.66,2.16,0.9,0.45,0.72,0.9,1.71,2.52,0.81,0.09,1.35,4.23,1.53,1.89,0.27,0.9,5.04,1.8,1.26,1.53,0.63,0.09,6.3,7.29,0.63,21.96,4.32,10.89,7.38,0.54,0.36,0,0.09,0,0.18,0.09,0,0.09,0,0,0,21.33,12.24,5.49,0.09,0.45,0.18,0,0.27,0.36,1.89,0.18,0.18,977,1697185
2969,50.58,71.65,41.03,35.16,14.55,15.36,84.54,56.96,16.34,7.88,1.52,1.21,2.59,0.17,2.39,8.45,8.59,12.13,9.67,6.64,6.97,1.85,17.65,3.84,1.72,1.82,3.27,2.49,3.23,1.89,1.35,0.13,0.27,0.34,8.69,0.13,0.24,0.24,0.47,11.11,2.26,1.41,1.75,2.05,1.28,3.33,2.59,1.01,0.98,0.51,1.11,0.27,0.61,0.1,0.13,6.47,1.58,1.18,2.09,1.62,0.34,5.62,9.9,1.01,14.45,2.32,8.02,4.14,1.41,0.2,0.54,0.71,0.03,0.17,0.27,0.07,0.13,0.03,0.07,0,20.24,8.02,5.56,0.74,0.07,0.17,0,0.3,0.81,3.27,1.11,0.2,1031,754700
3568,18.73,90.55,33.32,72.94,20.39,13.54,91.76,63.14,21.13,11.13,1.99,4.65,2.8,0.7,0.98,10.01,5.63,12.11,10.57,8.58,9.7,1.15,18.72,4.04,2.47,1.85,1.29,3.31,3.87,3.2,0.67,0.08,0.2,0.06,12.75,0,0.11,0.03,0.76,14.21,3.31,2.02,1.85,3.22,1.32,3.81,2.21,1.51,0.45,0.2,0.39,0.17,0.17,0.03,0.03,9.05,4.99,1.35,1.51,1.43,0.14,3.84,14.29,1.37,11.86,1.77,6.47,3.81,3.34,0.7,0.11,0.64,0,0,0.76,0.11,0.14,0.22,0.28,0.06,19.76,6.03,8.55,0.31,0,0.45,0.06,0.2,1.12,3.03,0,0.03,1233,1451846
1294,63.41,65.91,30.43,51.82,20.87,18.39,84.62,56.41,16.23,5.41,1.16,1.55,1.93,0,0.77,10.74,7.5,14.99,9.27,5.56,6.65,0.93,13.68,4.1,2.24,1.62,0.77,4.48,2.01,1.7,0.31,0.08,0.08,0,6.65,0.08,0.08,0.31,0.08,13.52,2.55,1.24,1,3.86,2.55,3.94,4.56,3.94,0.31,0.08,0.46,0.15,0.31,0,0,5.64,2.4,0.85,1.39,0.93,0.15,1.85,11.05,0.54,11.28,1.24,8.11,2.01,2.78,0.23,0.08,0.15,0.08,0,0.23,0,0.08,0.08,0.08,0,15.53,5.8,4.4,0.31,0.15,0.23,0,1.24,0.15,2.47,0.77,0,450,4772595
849,18.6,68.11,53.7,56.94,18.46,14.02,91.4,61.84,23.2,12.25,5.06,2.24,3.53,0,1.41,10.95,5.18,12.84,10.37,7.89,9.42,0.59,16.37,5.77,5.54,0.82,0.94,3.42,3.77,2.71,1.06,0.12,0.47,0.12,8.6,0.12,0.35,0,0.35,13.78,3.89,1.06,1.53,4.48,0.71,3.77,3.06,1.18,0.59,1.06,0.71,0.35,0.12,0.12,0.12,4.95,2.59,0.24,1.41,0.82,0,1.18,16.02,0.47,10.37,2.47,5.54,2.36,2.71,0.82,0.24,0.12,0,0,1.41,0.24,0,0.94,0.24,0,20.97,5.42,8.36,0,0,0.71,0.12,0.35,0.47,4.83,0.71,0,279,1479503
1007,72.18,93.67,23.59,40.01,12.13,18.57,81.93,52.33,17.28,9.93,1.29,4.57,2.68,0.5,0.89,7.35,8.64,13.51,8.74,4.47,3.97,0.4,16.09,3.57,1.09,2.28,1.59,2.28,2.78,1.79,0.99,0,0,0.2,11.32,0.2,0.2,0,0.79,11.02,2.98,1.79,1.59,1.69,1.79,1.59,3.08,2.88,0.1,0,0.7,0.4,0.3,0,0,10.43,5.46,1.69,1.59,1.19,0.79,2.48,12.31,0.89,12.91,2.18,8.14,2.88,1.89,0.6,0.1,0.7,0,0,0.2,0,0,0,0.2,0,19.17,8.14,5.56,0,0,0.79,0.1,1.09,0,3.08,0.4,0,370,308879
2715,74.12,78.59,65.49,49.78,19.26,18.05,83.87,54.48,14.22,6.34,1.18,2.06,2.8,0.04,0.26,7.88,7.66,15.54,9.76,5.38,4.83,0.92,16.06,4.6,2.62,1.29,3.13,1.99,2.5,1.88,0.59,0.11,0.15,0.15,7.59,0,0.11,0,0.15,9.39,1.8,1.55,1.58,2.21,1.25,2.36,1.77,0.99,0.41,0.33,0.88,0.22,0.33,0,0.33,6.85,2.47,1.4,1.77,1.51,0.22,3.06,11.97,1.36,19.67,3.87,10.5,5.75,2.25,0.77,0.04,0.59,0.07,0.04,0.11,0.07,0.04,0,0.04,0,15.06,5.86,4.6,0.18,0,0.29,0,0.63,0.07,2.76,0.66,0,1063,1801117
3459,45.13,67.29,69.8,66.27,20.59,15.55,88.09,59.5,16.94,8.3,3.38,2.25,1.13,0.17,1.36,8.64,7.26,14.51,9.16,9.11,8.88,0.35,16.8,3.64,2.86,1.71,1.27,2.78,3.21,2.66,0.52,0.06,0.23,0.12,7.78,0.03,0.17,0.12,0.2,11.74,2.2,1.79,1.59,3.09,0.95,2.89,1.97,1.1,0.2,0.38,1.21,0.29,0.46,0,0.4,7.49,3.67,1.01,2.14,0.81,0.17,2.11,12.06,2.54,17.4,3.18,9.6,4.94,1.07,2.31,0.03,0.09,0.2,0.03,0.43,0.06,0,0.26,0.12,0,17.52,5.75,6.91,0.03,0.03,0.14,0,0.58,0.52,3.15,0.4,0,997,1107307
1365,50.41,73.81,29.69,84.1,28.44,17.29,88.28,59.71,17.66,7.55,1.54,1.83,1.17,0.15,2.86,10.04,7.62,14.36,10.77,5.42,7.99,0.95,18.17,1.98,1.17,3.22,0.81,1.68,3.81,3.52,0.22,0,0.07,0,8.86,0.07,0.22,0,0.37,14.87,2.71,2.64,2.78,1.9,2.64,3,3.22,2.42,0.44,0.15,1.98,0.29,0.95,0.07,0.37,6.96,2.42,1.76,2.49,0.51,0.22,2.64,12.89,1.25,13.48,2.56,8.35,2.49,3.15,0.81,0.07,0,0.07,0,0,0,0,0,0,0,13.48,4.18,5.05,0,0,0,0,0.66,0,2.64,0.88,0.07,585,1788182
850,72.2,67.25,37.31,70.09,16.04,10.59,85.41,57.76,13.65,4.82,1.06,0.59,1.53,0,1.65,8.82,12,12.94,10.35,6.35,7.06,0.24,16.71,3.76,2.12,1.53,1.06,2.24,3.29,2.82,0.47,0,0.24,0,5.18,0.12,0.12,0.12,0.24,5.88,1.06,0.94,0.94,0.94,1.06,1.41,4.12,0.82,1.06,1.65,2.47,1.18,0.59,0,0.71,4.12,0.94,1.29,1.53,0.59,0.35,0.82,13.41,2.47,16.47,4.47,8.47,4,0.59,2,0.12,0.12,0.12,0.24,0.94,0.12,0,0.47,0.35,0,20.47,7.88,7.06,0.59,0,0.35,0.24,0.12,0,1.65,2.59,0,493,3982352
3116,31.92,56.89,57.77,74.74,12.72,14.06,89.18,55.87,19.06,11.07,6.42,0.64,2.76,0.48,0.77,7.99,5.65,12.03,8.92,7.16,9.24,0.83,16.21,5.01,2.47,1.44,1.7,2.57,4.91,3.75,1.12,0.06,0.19,0.19,8.25,0.32,0.26,0.55,0.48,12.23,2.89,2.15,1.03,3.47,1.38,2.57,3.4,1.86,0.9,0.39,2.73,0.39,0.77,0,1.16,6.13,1.35,0.74,2.7,1.22,0.42,4.01,11.33,0.58,11.81,1.57,6.39,3.98,3.4,1.35,0.26,0.29,0.03,0.13,0.48,0.1,0,0.16,0.26,0,26.44,8.06,10.11,0.1,0,0.87,0.06,0.55,2.12,3.34,1.16,0.1,959,1215947
1097,29.39,80.16,34.98,79.07,19.25,14.95,88.79,62.26,19.69,7.75,0.27,3.28,1.91,0,2.28,11.94,6.75,13.4,10.48,7.66,9.48,1.37,18.69,2.64,2.46,3.37,1.28,3.28,3.65,3.28,0.36,0,0,0.09,9.48,0.09,0,0.09,0,13.22,2.01,2.19,0.73,3.65,1.28,4.56,3.01,2.73,0.18,0,1.19,0.55,0.18,0,0.46,7.47,3.56,2.37,1.09,1.55,0,2.64,15.86,1.91,12.58,3.65,7.29,3.28,1.46,0.27,0,0.18,0,0,0.46,0,0,0.36,0.09,0,17.87,5.47,7.02,0.09,0,0.46,0,0.73,0,3.56,0.55,0,378,1212346
2304,67.97,76.97,26.01,60.33,17.45,20.96,86.72,53.82,15.36,6.47,1.39,2,1.22,0.17,1.69,8.9,7.94,14.15,8.64,5.21,5.56,1.74,15.97,4.6,2.78,2,1.91,2.73,4.17,2.99,1.17,0.22,0.39,0.3,10.37,0,0,0,0.3,12.76,2.47,3.56,1.35,2.17,1,3.04,2.95,0.74,1.78,0.04,0.95,0.13,0.56,0.04,0.04,9.51,2.65,2.69,3.43,1.56,0.61,3.56,11.02,0.74,11.76,1.22,6.16,4.17,3.69,1.61,0.09,0.69,0.13,0.04,0.26,0.04,0,0.09,0.13,0,19.44,6.99,7.29,0.04,0.13,0.22,0,0.82,0.69,2.26,0.95,0.04,1136,1895259
2972,43.66,80.54,31.07,61.5,14.57,16.12,84.99,57.34,17.73,7.91,0.91,2.62,2.52,0.37,1.48,9.83,7.6,12.38,9.42,7.3,7.57,1.14,16.55,3.87,1.92,2.19,1.65,1.72,3.3,2.56,0.67,0.03,0,0.2,8.95,0,0.3,0.03,0.37,11.88,2.39,2.66,1.72,2.62,0.74,3.43,3.43,2.05,0.24,1.11,3.26,2.93,0.1,0,0.07,8.34,3.16,2.22,1.95,1.24,0.5,2.12,14.54,0.81,13.39,3.06,7.3,3.36,1.78,0.61,0.03,0.07,0,0,0.24,0,0.03,0.07,0.13,0,19.55,6.66,5.75,0.54,0.17,1.04,0.13,0.77,0.13,3.94,0.4,0,1164,707524
3104,52.79,77.55,33.6,65.45,17.34,18.56,83.12,55.48,15.27,8.31,2.29,1,2.71,1.13,1.19,6.93,8.34,12.18,7.8,7.67,8.34,1.42,16.01,3.61,2.19,1.22,2.03,1.64,2.74,2.38,0.29,0.06,0.06,0.06,10.02,0.32,0.1,0.1,1.19,9.5,2.09,1.9,1.32,1.97,0.87,2.45,2.96,1.42,1.06,0.42,0.61,0.32,0.29,0.03,0,6.28,1.68,0.87,2.22,1.71,0.03,4.32,10.47,1,14.08,1.55,8.47,4.22,2.61,0.55,0.39,0.26,0.64,0.06,0.64,0,0,0.16,0.48,0,20.78,5.83,7.44,0.06,0.29,0.52,0.13,0.81,1.61,3.7,0.39,0,1017,1527858
2092,19.61,82.56,35.89,69.9,12.53,13,91.11,61.9,21.41,10.99,3.44,4.02,3.3,0.05,0.19,10.42,6.41,10.85,13.15,6.69,6.45,2.49,19.69,4.54,3.25,2.77,1.53,1.77,5.4,3.87,1.53,0.1,0.72,0.29,11.33,0.05,0.1,0.05,0.24,12.72,3.25,2.68,1.39,2.87,1.67,3.25,3.63,2.01,1.15,0.48,1.72,0.86,0.62,0.05,0.14,8.65,4.3,1.63,2.29,0.86,0.24,1.43,18.45,1.2,10.33,1.63,4.06,5.35,1.15,0.76,0,0.19,0.67,0.24,1.29,0.1,0,1,0.38,0,28.35,7.6,13.48,0.43,0.29,0.67,0.38,0.38,0.96,3.59,0.48,0.1,1026,1783740
1306,54.28,86.82,33.1,67.72,18.66,15.93,89.74,56.51,18.3,8.65,1.38,1.99,2.45,0.08,2.76,9.65,7.27,14.4,8.88,5.74,7.12,1.07,15.62,3.83,1.45,1.91,1.76,2.14,5.21,3.68,1.45,0,0.08,0.15,11.94,0.15,0.15,0,0.08,11.49,3.6,1.68,0.46,2.83,1.3,2.6,2.99,0.61,0.77,1.38,1.68,0.77,0.77,0.08,0.23,10.8,2.6,2.22,3.45,2.14,1.15,0.92,13.94,1,11.33,2.45,5.74,3.22,3.37,1.99,0.15,0.31,0,0,0.38,0.15,0,0.23,0,0,18.68,6.13,5.97,0.46,0,0.08,0,0.38,0.46,3.68,1.38,0.15,558,4364865
3174,19.82,68.95,33.24,71.86,12.35,13.39,89.82,60.37,22.78,11.91,5.73,0.88,2.99,2.02,0.28,10.87,6.33,11.22,12.19,6.36,7.21,1.83,21.17,3.59,1.89,2.8,1.07,1.39,5.29,3.84,1.39,0.28,0.38,0.44,11.15,0.69,0.54,0.38,2.65,12.63,3.37,1.95,1.61,3.31,0.98,2.36,3.78,1.61,1.17,0.69,1.07,0.69,0.13,0.03,0.06,6.02,1.73,1.17,1.67,1.86,0.13,4.88,14.18,1.1,10.55,1.2,5.32,4.06,1.2,1.35,0.16,0.72,0.19,0.19,0.57,0.16,0,0.03,0.16,0.06,28.54,8.13,7.59,0.79,0.25,1.04,0.88,0.28,2.17,5.58,1.83,0,1082,3519656
2358,42.2,81.45,42.11,56.19,16.84,17.18,86.05,54.41,17.09,8.74,2.76,2.76,1.99,0.17,1.06,8.35,5.77,12.26,11.2,6.02,6.74,0.68,19.25,3.18,1.19,2.5,2.88,2.67,2.46,2.04,0.42,0.17,0,0.08,9.67,0.04,0.21,0.21,0.3,10.94,1.78,3.22,2.12,1.99,1.19,2.04,1.02,0.34,0.47,0.21,0.81,0.04,0.55,0.04,0.17,7.29,3.77,1.27,1.4,1.1,0.08,2.08,14.89,2.08,15.52,4.54,6.45,4.79,2.12,0.72,0.17,2.63,0.04,0,0.17,0,0.08,0.13,0,0,17.85,5.68,5.34,0.34,0.34,1.23,0,1.15,0.93,2.59,0.25,0,819,434005
2522,83.25,70.12,42.75,50.17,23.35,18.36,86.16,57.38,13.32,6.62,2.66,1.27,1.47,0.63,0.59,6.66,10.9,15.58,7.38,4.32,8.33,0.59,14.59,2.5,1.55,1.63,2.1,1.82,2.82,2.06,0.75,0.08,0,0.16,7.3,0.04,0.12,0,0.75,8.8,2.26,1.67,0.75,1.86,1.39,1.51,3.33,1.82,0.99,0.44,0.52,0.12,0.12,0.08,0.24,5.11,1.67,1.27,1.43,1.03,0.16,4.8,7.77,1.51,14.87,2.14,9.28,3.69,1.9,1.31,0.2,0.4,0.56,0.32,0.16,0,0,0,0.16,0,16.34,5,6.38,0.44,0.52,0.16,0.08,0.2,1.19,1.67,0.71,0,1066,545664
2885,44.83,73.59,59.62,36.1,22.19,15.22,90.47,57.71,17.02,7.87,2.01,2.6,1.35,0.76,1.14,9.15,7.63,12.31,9.25,6.38,9.01,1.04,17.47,4.71,2.7,2.32,3.5,2.15,2.53,1.56,0.97,0.17,0.28,0.14,9.25,0.03,0.17,0.59,0.38,12.96,3.33,1.46,1.42,3.19,1.77,3.81,3.05,1.98,0.69,0.14,0.59,0.24,0.21,0,0.07,7.9,2.98,0.97,2.91,1.11,0.35,3.67,12.03,1.59,15.49,3.05,7.73,4.99,2.29,0.83,0.03,0.31,0.03,0,0.49,0.03,0.03,0.24,0.21,0.03,18.16,5.2,5.75,0.62,0.35,0.55,0.17,0.69,1.18,3.19,0.21,0.24,1237,777609
3890,42.42,73.82,33.12,55.32,21.85,15.14,90.23,60.26,16.07,7.53,1.88,1.03,3.14,0.59,0.9,8.53,8.48,12.13,10.62,7.1,9.15,1.31,18.53,3.8,1.59,2.08,1.75,2.72,3.11,2.31,0.75,0.21,0.08,0.21,9.05,0,0.1,0.28,0.36,12.49,2.52,1.57,1.59,3.37,1.52,3.65,4.11,1.98,0.98,1.05,1.26,0.82,0.28,0.03,0.15,5.24,1.26,0.82,2.08,1.31,0.1,3.83,12.19,1.8,12.52,1.95,6.66,4.11,2.6,1.49,0.31,0.08,0.1,0.03,0.67,0,0,0.33,0.33,0,18.56,5.4,6.92,0.57,0.15,0.23,0.08,0.82,1.05,2.83,0.51,0,1523,974087
677,35.52,83.15,6.31,64.96,12.77,15.07,85.38,57.16,16.25,9.9,1.62,3.1,1.03,2.66,1.48,6.35,7.39,10.78,9.45,9.16,8.27,1.18,17.28,4.58,2.95,1.62,3.69,1.77,2.66,2.36,0.3,0,0.15,0.15,11.52,0,0,0.15,3.84,11.52,2.81,2.22,1.62,1.92,1.77,3.1,4.73,3.55,0.89,0.15,3.4,2.95,0,0.3,0.15,5.76,3.1,1.18,1.33,0.15,0,4.28,12.85,0.15,8.57,0.3,3.99,3.99,1.33,0.74,0,0.15,0,0,1.77,0.15,0.44,0.74,0.44,0,21.71,7.39,8.57,0.15,0,1.18,0,1.18,0.3,2.07,0.89,0,264,1224127
285,27.14,87.65,30.23,4.46,14.25,9.47,87.02,54.04,18.25,11.58,3.51,2.11,1.05,2.46,2.46,6.67,5.96,9.12,8.07,4.91,13.33,0,19.3,4.21,1.75,1.4,1.05,1.05,3.51,0.7,2.81,0,1.05,0,12.28,0.35,0,1.4,2.46,9.47,2.81,1.75,1.05,2.46,1.75,0.35,4.91,1.05,3.86,0,2.11,0,2.11,0,0,6.32,2.11,0.7,1.05,1.05,1.4,5.26,12.28,0.7,14.74,4.56,4.21,5.96,0.7,2.81,1.05,0.35,0.7,0,0.7,0,0,0.35,0.35,0,24.56,9.12,8.07,0.35,0.35,1.05,0,0.35,2.11,2.46,0.7,0,240,480377
888,61.73,53.6,36.43,75.85,26.91,20.95,88.51,56.53,15.54,6.42,2.93,0.34,2.36,0.11,0.68,9.12,9.12,13.51,9.01,7.21,7.32,0.34,13.96,3.04,1.91,1.8,2.7,3.38,3.15,2.93,0.23,0.11,0,0,5.97,0,0.11,0,0.23,11.71,1.01,2.7,1.24,4.28,0.56,4.5,3.94,3.15,0.56,0.11,0.56,0.45,0,0,0.11,5.74,1.58,1.69,1.58,1.35,0.11,1.69,12.27,0.9,11.82,2.7,6.87,2.59,4.05,3.04,0.23,0.9,0,0,0.11,0,0,0,0.11,0,17.12,5.07,6.31,0.11,0,0,0,0.45,0,2.48,2.48,0.23,340,5483940
