WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,duration,views
1710,43.23,87.53,15.04,52.07,16.29,18.95,85.85,58.6,19.06,9.12,1.17,4.33,1.7,0.53,1.4,9.94,6.32,13.74,10.88,5.44,6.49,1.52,17.89,4.04,2.75,1.52,2.05,2.28,3.16,2.28,0.88,0.06,0.12,0.18,11.23,0.23,0,0.35,0.47,12.75,1.7,2.28,3.16,2.57,2.05,3.04,1.58,0.35,0.7,0.41,0.53,0.12,0.35,0,0.12,10.06,5.09,1.7,1.81,1.23,0.41,3.16,13.22,0.94,12.57,2.4,6.61,4.04,2.69,0.41,0.12,0.47,0,0.12,0.06,0,0,0,0,0.06,19.59,6.55,5.85,0.18,0.06,0.47,0,0.29,0.99,4.85,0.35,0,575,1284067
1881,76.82,62.52,60.15,48.46,17.58,19.03,84.9,54.6,14.99,8.29,4.25,0.8,2.23,0.53,0.48,6.54,8.29,15.74,7.71,5.26,6.06,0.69,16.75,4.47,2.92,1.97,1.65,2.87,2.82,1.91,0.69,0,0.16,0,7.5,0.16,0.11,0,0.69,11.54,2.45,2.02,2.07,2.6,0.96,2.39,2.39,1.06,0.85,0.32,0.37,0.21,0.05,0,0.11,6.38,1.28,2.13,1.59,1.12,0.43,7.87,5.64,0.9,16.06,2.23,8.77,5.42,5.95,0.27,0.27,0.9,0.11,0,0.32,0,0.05,0,0.27,0,17.33,6.38,5.48,0.16,0.05,0.64,0.16,0.53,1.06,2.02,0.85,0,720,992523
2411,60.99,87.38,29.16,51.37,19.29,18.29,86.35,55.54,16.59,7.55,0.87,3.77,1.78,0.37,0.75,9.04,7.3,14.02,9.54,4.56,6.64,1.04,17.96,5.23,2.86,2.24,1.58,2.78,3.86,2.61,1.24,0.5,0.17,0.17,10.66,0.04,0.29,0.29,0.25,11.99,2.24,2.45,1.41,2.2,2.41,2.78,1.99,0.66,0.71,0.33,0.41,0.21,0.12,0,0.08,9.33,4.77,2.24,1.87,1.12,0.21,3.32,11.36,1.91,13.6,2.78,5.93,5.1,2.94,0.87,0,0.29,0.25,0,0.41,0.08,0,0.17,0.17,0,19.04,5.6,6.35,0.17,0.08,0.71,0.04,0.79,0.58,3.65,1.08,0,923,2759051
3494,57.46,74.86,43.98,56.01,20.92,16.8,85.43,55.27,15.34,6.78,1.66,1.66,2.35,0.26,0.86,8.56,8.87,11.96,9.47,5.47,7.73,1.14,15.91,4.18,1.97,2.03,2.72,2.58,2.92,2.26,0.66,0.06,0.14,0.26,8.39,0.03,0.4,0.06,0.29,9.7,1.43,1.66,1.46,2.2,1.52,2.89,2.06,0.97,0.66,0.11,1,0.52,0.34,0,0.06,6.61,2.49,0.94,1.55,1.23,0.69,2.35,13.51,1.06,15.83,2.32,9.79,4.01,1.52,1.35,0.72,0.31,0.03,0.06,0.26,0,0,0.03,0.2,0,18.52,5.38,7.93,0.26,0.09,0.34,0,1.06,0.52,2.52,0.4,0.03,1117,1354647
1977,34.03,92.16,12.55,10,17.5,21.5,88.77,54.17,16.89,9.91,1.06,2.98,3.39,1.32,1.16,6.98,4.81,11.63,9.76,6.42,7.54,2.53,16.84,5.11,2.78,1.42,0.96,2.73,6.07,2.33,3.59,0.81,1.01,0.2,16.54,0.2,0.4,1.32,0.4,16.29,2.43,2.18,2.68,4.25,2.38,5.06,2.23,1.32,0.66,0.05,2.88,0.35,0.35,2.38,0.05,12.54,6.12,1.16,3.03,0.96,1.72,2.88,13.81,0.51,9.56,2.02,3.74,4.05,2.53,0.46,0.15,0.3,0.1,0.05,0.51,0.1,0.05,0.1,0.15,0,18.11,5.97,5.82,0.3,0,0.61,0.1,0.66,0.2,3.74,0.61,0.1,865,1240167
1184,53.15,66.97,41.3,57.72,16.91,21.2,83.11,50.93,14.19,9.46,4.31,2.7,1.77,0.17,0.51,4.73,7.09,11.74,9.21,6.59,7.01,1.69,17.15,2.79,1.86,2.96,0.68,1.35,4.05,2.87,1.18,0.17,0.59,0.08,9.21,0,0.25,0.17,0,13.34,3.21,4.22,1.18,1.77,0.76,3.29,2.7,1.94,0.34,0.25,2.28,2.11,0.17,0,0,10.9,4.56,2.7,2.79,1.52,0.42,3.8,12.25,0.93,10.22,1.86,5.91,2.53,5.66,0.68,0.08,1.1,0,0,0.68,0,0.42,0,0.25,0,18.5,5.74,5.49,0.25,0,1.52,0.08,1.18,0.84,2.62,0.68,0.08,524,869310
1016,47.71,80.67,38.78,45.67,23.63,21.75,87.89,54.63,15.16,8.76,2.07,5.51,0.59,0.1,0.49,6.4,5.31,13.09,7.68,6.89,8.76,1.67,16.14,3.15,1.87,1.87,1.08,2.85,4.63,2.85,1.77,0.2,0.1,0.89,9.55,0.79,0,0.49,0.39,13.68,1.57,3.64,1.87,3.35,1.97,3.15,2.17,1.18,0.39,0.59,0.89,0,0,0,0.89,13.98,6.5,4.92,2.66,1.77,0.89,7.38,6.4,0.89,14.47,1.57,7.97,5.22,5.31,2.07,0.39,0.69,0,0.1,0.79,0.1,0.1,0.1,0.49,0,14.17,4.63,6.2,0,0,0.89,0,0.39,0,1.67,0.39,0,361,1057942
1795,69.91,81.21,56.66,44.1,24.26,19.78,85.74,56.27,16.21,10.86,3.9,4.35,1.23,0.67,0.72,5.29,8.52,14.21,6.3,6.02,6.63,1.23,13.54,3.57,2.06,1.73,1.23,2.56,3.45,2.06,1.06,0.45,0,0.39,12.09,0.17,0.22,0.72,0.28,14.21,3.18,2.4,1,2.06,2.73,3.68,2.62,1.56,0.33,0.61,0.95,0.33,0.39,0.11,0.17,8.36,5.68,1.23,1.39,0.39,0.22,5.07,7.24,0.45,12.92,1.62,6.52,5.18,1.84,0.33,0.06,0.11,0.22,0,0.11,0,0.06,0.06,0,0,12.53,4.57,5.24,0,0,0.39,0,0.39,0.89,0.95,0.11,0,673,1077662
1360,76.87,76.89,28.4,85.12,28.94,18.75,82.94,53.01,14.41,6.54,1.62,1.84,2.57,0.29,0.22,7.87,8.75,13.82,6.25,3.53,8.24,0.81,12.94,3.6,1.69,1.69,3.09,2.13,3.68,3.53,0.15,0,0,0,7.35,0.07,0,0,0.29,11.32,2.72,1.62,1.69,2.43,2.13,1.99,4.04,2.94,0.37,0.74,1.54,0.51,0.51,0,0.22,6.32,2.79,1.1,1.54,0.81,0.51,4.26,6.91,0.81,13.24,1.69,8.6,3.01,0.74,0.51,0.44,0.07,2.57,0.15,0.07,0,0,0,0.07,0,18.97,4.49,10.74,0.44,0.29,0.37,0.07,0.22,0.51,1.03,0.74,0.07,766,1098436
1419,45.83,91.3,34.91,84.29,27.29,16.07,92.18,55.39,19.31,11.91,3.59,3.59,1.27,0.7,2.75,7.33,7.26,11.7,7.05,5.43,8.03,1.55,15.01,4.65,3.38,1.41,0.85,2.61,6.84,5.07,1.76,0.42,0.42,0.28,16.7,0.78,0.07,0.07,1.27,14.45,3.59,2.11,2.04,2.68,2.4,2.82,3.74,1.48,0.63,1.27,3.81,0.56,2.61,0.07,0.07,11.91,7.26,2.04,2.4,1.41,0.14,5.14,6.98,1.2,11.42,1.13,4.3,5.92,2.47,3.88,0.28,0.28,0.35,0.49,0.07,0,0,0,0.07,0,14.66,4.93,5.14,0.14,0,0.14,0,0.35,0.42,1.83,1.41,0.28,634,1156126
