WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,comments,duration,views
2663,58.89,66.31,48.94,73.46,20.64,16.94,87.87,60.65,14.8,5.97,1.16,1.54,2.03,0,1.24,8.82,8.34,16.3,11.15,6.98,8.19,1.31,17.05,5.11,2.93,2.25,1.13,2.29,3.76,3.15,0.6,0,0.23,0.04,6.65,0.04,0.04,0,0.04,11.38,1.88,1.35,2.18,3.15,1.39,3.53,3.83,1.92,0.83,1.09,2.22,0.41,1.46,0,0.15,5.07,1.73,1.05,1.5,1.28,0.23,2.14,12.54,2.14,16.45,2.25,10.4,3.91,1.13,0.75,0.26,0.11,0,0.11,0.26,0,0.04,0.11,0.11,0,18.29,5.18,8.3,0.11,0.08,0.15,0,0.3,0.08,3.19,0.9,0,87,1151,895199
2581,59.15,89.02,56.16,87.92,18.3,14.84,90.24,54.24,17.16,10.03,3.56,1.2,3.29,0.93,1.05,7.13,6.43,14.45,8.1,5.97,6.24,1.12,16.39,3.99,2.4,2.13,2.63,2.48,7.28,5.42,1.78,0.27,0.23,0.58,15.03,0.15,0.39,0.74,0.93,10.27,3.45,0.93,0.89,1.43,1.9,2.52,2.79,1.05,0.85,0.77,5.58,1.47,0.89,0.43,0.35,9.18,5.19,1.59,1.28,1.7,0.58,3.84,10.85,0.89,14.22,2.25,7.63,4.38,1.43,0.74,0.12,0.15,0.39,0.27,0.58,0.04,0.08,0.39,0.08,0.04,19.22,5.97,8.14,0.35,0.08,0.31,0,0.35,1.08,2.71,0.23,0,229,956,4883112
3274,53.31,83.28,22.48,96.68,19.15,19.67,89.37,55.01,15.88,8.95,2.14,2.05,2.75,0.73,1.28,6.93,7.24,13.35,10.38,5.31,7.36,1.44,16.98,5.41,3.08,2.69,2.69,2.14,8.25,6.32,1.34,0.34,0.18,0.67,11.21,0.09,0.09,0.4,0.4,11.58,2.96,2.23,1.13,1.92,1.77,2.75,1.99,0.64,0.95,0.18,2.66,0.09,2.23,0.09,0.18,8.98,2.78,2.05,1.92,2.41,0.49,4.15,12.37,0.61,10.48,1.62,4.86,4,3.12,0.64,0.03,0.43,0.12,0.03,0.43,0.03,0,0.18,0.21,0,20.65,5.89,8.19,0.43,0.43,0.58,0.03,0.46,1.34,2.78,0.43,0.09,224,1422,4190393
2193,57.3,88.47,54.09,66.34,21.71,17.56,85.41,57,15.32,8.12,1.05,5.06,0.82,0.82,0.36,7.16,7.07,14.64,8.76,7.66,7.98,0.36,16.23,4.88,2.51,1.23,2.55,2.46,3.15,2.64,0.5,0.05,0.09,0.14,10.4,0.36,0,0.18,0.96,8.94,2.19,1,0.87,2.28,1.37,2.42,1.87,1.14,0.46,0.23,2.51,1.46,0.59,0.46,0.05,10.58,6.16,0.73,2.33,1.09,0.41,5.52,10.26,0.91,17.65,2.42,9.8,5.52,0.46,0.23,0.14,0.05,0,0.18,0.78,0.46,0,0.09,0.23,0,17.37,5.11,7.84,0.14,0.14,0.32,0,0.73,0.09,2.46,0.55,0,70,936,656400
2895,62.72,66.21,54.59,70.61,18.32,18.2,86.6,58.07,14.78,5.49,1.21,2.21,1.28,0.07,0.73,9.29,9.29,14.16,9.95,7.22,7.15,0.76,16.03,4.42,3.14,2,0.9,2.63,3.07,2.73,0.35,0.03,0.14,0.07,6.04,0,0.07,0,0.07,11.68,2.31,2.25,1.83,2.73,1.49,3.39,4.77,4.01,0.52,0.21,0.69,0.48,0.14,0.03,0.07,5.73,2.56,0.69,2.18,0.45,0.14,1.14,12.71,1.73,16.68,2.49,10.54,4.04,1.24,0.1,0.14,0.21,0,0,1.76,0,0,1.52,0.24,0,17.58,5.42,8.15,0.14,0.28,0.66,0.03,0.31,0,2.38,0.21,0,272,969,1410164
3297,43.26,81.04,23.28,45.84,20.48,16.29,84.23,55.84,17.44,7.73,1.4,1.91,2.88,0.27,1.27,9.71,7.04,12.13,9.43,6.34,8.7,0.58,16.56,4.49,1.88,1.91,2.73,2.85,1.88,1.49,0.39,0.06,0.09,0.03,9.1,0.06,0.06,0.12,0.24,11.98,2.12,2.85,2.03,3.64,0.7,3.12,2.18,1.36,0.36,0.3,1.06,0.42,0.27,0,0.18,6.95,2.27,0.82,2.09,1.64,0.3,1.91,13.8,1.46,12.28,2.18,7.4,2.79,3.88,0.06,0.09,0.24,0,0,0.27,0,0,0.18,0.09,0,18.02,4.88,8.07,0,0.15,0.61,0,1.03,0.06,2.85,0.3,0.06,54,984,501256
2394,34.73,78.51,45.63,54.07,17.47,15.2,89.56,61.36,18.8,9.02,1.75,2.01,3.8,0.13,1.34,9.77,6.31,14.45,10.86,6.1,9.69,1.75,17.08,4.55,3.22,2.01,1.17,2.92,3.22,2.34,0.84,0.17,0.13,0.13,10.11,0.08,0,0,0.13,14.45,3.17,1.84,1.96,4.43,1.21,4.47,2.88,1.5,0.71,0.5,0.96,0.5,0.13,0.08,0.13,6.31,2.21,1.34,1.75,0.96,0.29,2.59,12.91,1.25,13.03,1.38,8.35,3.34,2.88,0.42,0.17,0.21,0.13,0.13,1,0.04,0.04,0.5,0.5,0,23.89,4.47,11.03,0.08,0.04,1.71,0,0.5,0.75,4.64,0.58,0.08,151,748,1032549
2805,69.44,77.72,48.09,42.59,15.08,14.08,83.96,56.93,15.72,5.85,0.46,2.67,1.43,0.25,1.03,9.84,8.59,15.61,8.06,7.31,5.92,1.03,16.4,4.35,2.85,1.11,2.42,2.35,2.35,1.64,0.71,0.11,0.21,0.04,7.56,0,0.29,0.04,0.46,7.63,1.11,0.96,0.46,1.75,1.35,2.46,3.78,2.42,0.68,0.53,2.07,0.75,0.68,0,0.57,7.31,3.1,0.75,2.28,1.14,0.21,2,12.69,1.43,17.4,2.53,11.98,3.28,0.86,0.68,0.14,0.21,0.07,0.04,0.25,0.07,0,0.04,0.14,0,18.86,7.13,4.74,0.61,0,0.18,0.18,0.61,0.14,4.71,0.57,0,66,800,996736
2046,29.49,78.44,26.62,43.59,19.86,15.98,89.83,58.21,15.74,8.06,1.56,1.96,3.03,0.24,1.27,7.67,6.21,12.02,10.9,7.38,10.95,1.76,18.23,5.43,2.88,2.93,3.91,3.81,5.33,3.03,2.05,0.39,0.05,0.1,11,0.29,0.05,0.05,0.34,17.5,3.52,2.59,2.69,6.01,1.22,4.79,2.1,0.73,0.88,0.44,1.37,0.44,0.78,0,0.15,7.92,2.44,1.32,1.56,1.61,1.52,1.27,14.96,1.81,10.31,1.27,5.38,3.76,2.05,0.24,0,0.15,0,0.1,0.49,0,0,0.15,0.24,0.1,18.28,4.94,7.28,0.1,0.1,0.59,0,0.39,0.59,3.71,0.59,0,45,813,513090
3503,78.68,69.74,40.48,52.55,27.37,21.47,85.13,52.95,11.59,5.57,1.46,0.74,1.17,0.2,2,6.02,8.08,15.02,8.54,4.71,6.45,1.63,13.53,5.05,2.71,1.91,1.26,3.05,4.31,2.85,1.43,0.34,0.66,0.14,10.25,0.63,0.11,0.2,0.34,12.82,2.91,1.48,1.11,3.23,2,3.88,2.43,1.28,0.66,0.29,0.97,0.51,0.29,0.2,0.06,5.99,2.14,0.74,2.54,0.74,0.34,3.28,9.82,0.86,12.62,1.74,7.51,3.37,2.63,2.23,0.34,0.29,0.2,0.11,0.69,0.03,0,0.14,0.51,0,16.24,4.03,8.19,0.37,0.2,0.11,0,0.31,1.14,1.66,0.23,0,218,1362,1044038
