WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,comments,duration,views
646,37.56,23.35,75.98,99,19.58,17.8,87.62,53.56,17.03,9.75,7.59,0.62,1.08,0.46,0,7.28,6.35,10.06,7.74,6.5,8.82,1.7,15.17,6.19,3.41,1.39,1.08,2.63,8.82,8.2,0.46,0.15,0,0.15,6.66,0.31,0,0.46,0.62,14.55,2.48,2.17,1.24,2.63,1.24,6.35,6.97,0.62,5.57,0.77,0.93,0.62,0,0,0,4.64,1.39,1.08,1.24,1.08,0.31,4.33,9.44,0.77,10.53,2.01,4.49,4.02,1.55,3.25,0,0,0,0,1.55,0,0,0.46,1.08,0,31.11,6.81,8.36,0.31,0,0.62,0.93,0.46,1.24,2.48,9.6,0.31,325,1481,2702470
1006,34.21,59.82,47.84,95.39,20.96,14.81,84,54.57,19.98,12.03,6.56,0.1,4.57,0.4,0.4,7.95,5.47,11.63,9.05,4.97,8.75,0.99,17.89,1.99,1.69,1.79,2.39,3.08,4.97,4.77,0.1,0,0.1,0,8.15,0.1,0.1,0.3,0.3,13.02,3.28,2.29,1.49,4.37,0.89,2.78,3.28,0.1,2.88,0.3,0.1,0,0,0.1,0,4.08,0.89,1.59,1.09,0.6,0.1,1.79,14.81,2.78,9.94,1.59,3.38,4.67,1.69,3.18,0.1,0,0,0,1.49,0,0.4,0.89,0.2,0,31.01,6.76,8.05,1.79,0,0.99,0.5,0.6,1.99,4.97,5.37,0,305,1445,1628912
568,1,1,70.87,41.7,142,1.41,93.84,63.56,29.93,17.25,16.9,0,0.35,0,0,12.68,2.46,3.52,13.2,4.23,5.28,10.56,28.17,2.11,0.88,9.15,0.18,0.88,4.05,2.46,1.58,0.18,0.18,0.35,2.64,0,0.18,0,0.18,19.72,1.06,1.06,8.63,0.7,1.58,7.22,2.29,0.18,1.23,0.88,2.46,1.06,1.41,0,0,3.87,0,0.18,0.53,1.76,1.58,0.7,30.28,2.46,7.75,1.76,2.82,3.35,0.18,0.18,0,0,0,0.18,2.64,0,1.23,0.18,1.23,0,24.65,1.23,9.86,0.18,0.53,0,0,1.23,1.41,9.86,0.35,0,40,276,395769
424,59.2,71.43,57.73,65.97,26.5,14.62,89.86,57.78,16.27,10.14,4.25,1.65,2.12,0.24,1.89,6.13,7.78,15.8,8.73,7.55,8.49,0.24,17.69,3.77,2.12,1.65,0.94,3.07,3.07,2.36,0.24,0,0,0,8.49,0,0,0,0.24,12.03,3.3,2.83,0.94,3.3,0.47,2.12,3.54,0.94,2.36,0.24,1.18,0.94,0,0,0.24,5.66,1.65,1.42,1.42,1.18,0,2.36,12.74,0.71,13.68,0.71,8.73,4.01,4.25,1.42,0,0.47,0,0,0.24,0,0,0,0.24,0,17.45,5.19,6.37,0.24,0.24,0,0,0.24,0,4.25,0.94,0,47,893,606311
133,77.17,77.39,73.74,99,22.17,24.06,81.2,48.87,14.29,7.52,4.51,0,3.01,0,0,6.77,6.77,13.53,6.77,2.26,6.77,0.75,12.78,3.76,1.5,1.5,0,1.5,10.53,8.27,2.26,0.75,0,0.75,9.77,0,1.5,0,0,5.26,0,0,0,0,5.26,0,3.76,1.5,2.26,0,3.76,1.5,0,0.75,1.5,4.51,1.5,1.5,2.26,0,0.75,3.76,9.02,0,20.3,2.26,12.78,5.26,0.75,3.01,0,0,0.75,0,2.26,0,0,0.75,1.5,0,26.32,1.5,3.76,0.75,0.75,2.26,1.5,1.5,0,5.26,9.02,0,39,163,591379
380,12.43,53.16,82.38,78.75,23.75,10.26,87.63,62.89,22.89,19.47,10.53,0,7.89,1.05,0,3.42,5.79,10.26,12.63,5,8.42,4.21,22.63,4.47,3.42,0.79,0.26,1.58,3.95,3.42,0.53,0,0.26,0,13.68,0,0.79,0,1.58,9.74,2.11,0.26,1.05,1.32,0.53,6.05,6.05,3.16,2.11,0.79,2.11,1.58,0,0,0,3.42,1.05,0,1.58,0.79,0,4.74,14.21,1.05,10,1.84,5.79,2.37,0.79,1.32,0,0.53,0,0,1.84,0,0,0,1.32,0.53,23.68,7.63,6.32,0,0,0.53,0.53,0,2.63,3.95,2.11,0,34,459,398713
3287,31.38,53.41,50.76,70.96,21.34,14.82,91.97,59.02,17.19,9.31,4.69,1.73,2.07,0.33,0.49,7.88,6.27,12.44,9.28,9.01,9.07,1.92,16.73,4.9,2.53,2.62,1.1,2.95,3.68,3.04,0.64,0.03,0.06,0.03,8.24,0,0.06,0.03,0.4,14.88,2.89,2.25,1.55,3.92,1.64,4.59,8.82,0.82,6.27,1,1.55,1,0.43,0,0.09,5.38,2.04,0.85,1.64,0.64,0.3,2.4,11.44,1.7,10.83,1.49,5.63,3.83,1.86,2.86,0.09,0.06,0.03,0,0.91,0,0.15,0.21,0.52,0.03,24.37,5.51,9.83,0.18,0.24,0.76,0.09,0.3,1.28,2.56,3.62,0,296,1929,4165572
307,15.47,95.15,96.12,74.32,10.96,12.05,88.93,62.21,19.22,15.31,4.89,1.95,7.49,0.65,0.33,3.58,3.91,11.73,11.07,13.03,6.84,0.65,20.85,2.61,0.65,4.56,0.65,2.28,5.21,3.91,1.3,0,0.33,0.33,14.01,0,0.65,0,1.3,7.82,1.63,1.3,0.65,2.28,1.63,1.3,2.28,0.33,1.95,0,1.63,0.33,0.33,0,0,6.51,2.93,1.3,2.28,0.65,0,3.91,16.61,3.58,25.08,2.93,10.42,12.7,0.33,0.98,0.33,0.33,0.65,0,0.65,0,0.33,0,0.33,0,20.52,5.54,1.95,0,0,5.86,0,0,1.3,4.56,0.65,0.65,75,378,513672
282,10.78,93.62,6.82,96.63,28.2,7.09,95.04,63.83,26.24,10.28,0.35,0,8.16,1.42,0.35,15.96,6.74,10.99,11.7,4.61,10.28,3.19,23.4,2.48,1.77,8.87,1.77,0.71,7.8,6.38,1.42,0,0.71,0,17.02,0,0.35,0,1.42,13.83,0.71,4.26,3.19,3.9,1.42,6.38,5.32,0,3.19,2.13,4.26,2.84,1.42,0,0,6.74,1.77,0.35,2.84,2.13,0,5.67,18.09,0,9.22,3.9,2.84,2.48,0,0.71,0.35,0,0,0,0,0,0,0,0,0,14.54,0.71,0.71,0,0,2.84,0,0,0.71,8.87,0.71,0,50,312,428351
111,91.42,32.63,1,94.53,18.5,13.51,21.62,11.71,4.5,4.5,4.5,0,0,0,0,0,4.5,0.9,0.9,0,0.9,0.9,0.9,0,0,0,0,0.9,4.5,4.5,0,0,0,0,0.9,0,0,0,0,1.8,0,0.9,0,0,0.9,0,0.9,0,0,0,0,0,0,0,0,1.8,0.9,0,0.9,0,0,0,0.9,0,1.8,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,27.03,5.41,6.31,1.8,0,0,0,0,0,4.5,7.21,1.8,39,201,443180
