,Source (B)
684,"https://www.ted.com/talks/marian_bantjes_intricate_beauty_by_design
"
714,"https://www.ted.com/talks/jamil_abu_wardeh_bringing_comedy_to_the_axis_of_evil
"
715,"https://www.ted.com/talks/maz_jobrani_make_jokes_not_bombs
"
724,"https://www.ted.com/talks/his_holiness_the_karmapa_the_technology_of_the_heart
"
727,"https://www.ted.com/talks/sugata_mitra_the_child_driven_education
"
733,"https://www.ted.com/talks/jessa_gamble_how_to_sleep
"
755,"https://www.ted.com/talks/ze_frank_s_web_playroom
"
756,"https://www.ted.com/talks/jessica_jackley_poverty_money_and_love
"
795,"https://www.ted.com/talks/rufus_griscom_alisa_volkman_let_s_talk_parenting_taboos
"
796,"https://www.ted.com/talks/rachel_botsman_the_case_for_collaborative_consumption
"
802,"https://www.ted.com/talks/arianna_huffington_how_to_succeed_get_more_sleep
"
803,"https://www.ted.com/talks/lesley_hazelton_on_reading_the_koran
"
804,"https://www.ted.com/talks/charles_limb_your_brain_on_improv
"
806,"https://www.ted.com/talks/neil_pasricha_the_3_a_s_of_awesome
"
819,"https://www.ted.com/talks/liza_donnelly_drawing_upon_humor_for_change
"
820,"https://www.ted.com/talks/ariel_garten_know_thyself_with_a_brain_scanner
"
824,"https://www.ted.com/talks/johanna_blakley_social_media_and_the_end_of_gender
"
831,"https://www.ted.com/talks/a_whistleblower_you_haven_t_heard
"
853,"https://www.ted.com/talks/mark_bezos_a_life_lesson_from_a_volunteer_firefighter
"
855,"https://www.ted.com/talks/sarah_kay_if_i_should_have_a_daughter
"
864,"https://www.ted.com/talks/sebastian_thrun_google_s_driverless_car
"
865,"https://www.ted.com/talks/eric_whitacre_a_virtual_choir_2_000_voices_strong
"
873,"https://www.ted.com/talks/david_christian_big_history
"
875,"https://www.ted.com/talks/roger_ebert_remaking_my_voice
"
882,"https://www.ted.com/talks/ric_elias
"
890,"https://www.ted.com/talks/carlo_ratti_architecture_that_senses_and_responds
"
897,"https://www.ted.com/talks/amit_sood_building_a_museum_of_museums_on_the_web
"
903,"https://www.ted.com/talks/terry_moore_how_to_tie_your_shoes
"
910,"https://www.ted.com/talks/stefan_sagmeister_7_rules_for_making_more_happiness
"
912,"https://www.ted.com/talks/jessi_arrington_wearing_nothing_new
"
915,"https://www.ted.com/talks/janet_echelman
"
925,"https://www.ted.com/talks/bill_ford_a_future_beyond_traffic_gridlock
"
933,"https://www.ted.com/talks/robert_hammond_building_a_park_in_the_sky
"
934,"https://www.ted.com/talks/matt_cutts_try_something_new_for_30_days
"
952,"https://www.ted.com/talks/adam_ostrow_after_your_final_status_update
"
971,"https://www.ted.com/talks/raghava_kk_shake_up_your_story
"
974,"https://www.ted.com/talks/kate_hartman_the_art_of_wearable_communication
"
986,"https://www.ted.com/talks/danielle_de_niese_a_flirtatious_aria
"
991,"https://www.ted.com/talks/charles_hazlewood
"
993,"https://www.ted.com/talks/richard_seymour_how_beauty_feels
"
1016,"https://www.ted.com/talks/charlie_todd_the_shared_experience_of_absurdity
"
1018,"https://www.ted.com/talks/yves_rossy_fly_with_the_jetman
"
1021,"https://www.ted.com/talks/robin_ince_science_versus_wonder
"
1043,"https://www.ted.com/talks/roger_doiron_my_subversive_garden_plot
"
1049,"https://www.ted.com/talks/aj_jacobs_how_healthy_living_nearly_killed_me
"
1072,"https://www.ted.com/talks/shawn_achor_the_happy_secret_to_better_work
"
1075,"https://www.ted.com/talks/mike_degruy_hooked_by_octopus
"
1079,"https://www.ted.com/talks/jack_horner_shape_shifting_dinosaurs
"
1081,"https://www.ted.com/talks/drew_dudley_everyday_leadership
"
1089,"https://www.ted.com/talks/chris_bliss_comedy_is_translation
"
1103,"https://www.ted.com/talks/james_hansen_why_i_must_speak_out_about_climate_change
"
1105,"https://www.ted.com/talks/a_ted_speaker_s_worst_nightmare
"
1112,"https://www.ted.com/talks/taylor_wilson_yup_i_built_a_nuclear_fusion_reactor
"
1113,"https://www.ted.com/talks/billy_collins_everyday_moments_caught_in_time
"
1129,"https://www.ted.com/talks/frank_warren_half_a_million_secrets
"
1133,"https://www.ted.com/talks/abigail_washburn_building_us_china_relations_by_banjo
"
1137,"https://www.ted.com/talks/laura_carstensen_older_people_are_happier
"
1139,"https://www.ted.com/talks/brian_greene_why_is_our_universe_fine_tuned_for_life
"
1147,"https://www.ted.com/talks/reuben_margolin_sculpting_waves_in_wood_and_time
"
1152,"https://www.ted.com/talks/jp_rangaswami_information_is_food
"
1153,"https://www.ted.com/talks/karen_bass_unseen_footage_untamed_nature
"
1165,"https://www.ted.com/talks/philippe_petit_the_journey_across_the_high_wire
"
1167,"https://www.ted.com/talks/reggie_watts_disorients_you_in_the_most_entertaining_way
"
1174,"https://www.ted.com/talks/seth_shostak_et_is_probably_out_there_get_ready
"
1180,"https://www.ted.com/talks/john_hodgman_design_explained
"
1185,"https://www.ted.com/talks/sarah_parcak_archeology_from_space
"
1187,"https://www.ted.com/talks/rodney_mullen_pop_an_ollie_and_innovate
"
1194,"https://www.ted.com/talks/jon_nguyen_tour_the_solar_system_from_home
"
1201,"https://www.ted.com/talks/boaz_almog_levitates_a_superconductor
"
1203,"https://www.ted.com/talks/raghava_kk_what_s_your_200_year_plan
"
1206,"https://www.ted.com/talks/jane_mcgonigal_the_game_that_can_give_you_10_extra_years_of_life
"
1212,"https://www.ted.com/talks/gabriel_barcia_colombo_capturing_memories_in_video_art
"
1217,"https://www.ted.com/talks/neil_harbisson_i_listen_to_color
"
1227,"https://www.ted.com/talks/stephen_ritz_a_teacher_growing_green_in_the_south_bronx
"
1230,"https://www.ted.com/talks/mark_applebaum_the_mad_scientist_of_music
"
1252,"https://www.ted.com/talks/wayne_mcgregor_a_choreographer_s_creative_process_in_real_time
"
1261,"https://www.ted.com/talks/andrew_mcafee_are_droids_taking_our_jobs
"
1266,"https://www.ted.com/talks/aris_venetikidis_making_sense_of_maps
"
1275,"https://www.ted.com/talks/ruby_wax_what_s_so_funny_about_mental_illness
"
1291,"https://www.ted.com/talks/adam_garone_healthier_men_one_moustache_at_a_time
"
1293,"https://www.ted.com/talks/matt_killingsworth_want_to_be_happier_stay_in_the_moment
"
1302,"https://www.ted.com/talks/david_binder_the_arts_festival_revolution
"
1303,"https://www.ted.com/talks/daphne_bavelier_your_brain_on_video_games
"
1306,"https://www.ted.com/talks/louie_schwartzberg_nature_beauty_gratitude
"
1307,"https://www.ted.com/talks/candy_chang_before_i_die_i_want_to
"
1309,"https://www.ted.com/talks/jonas_eliasson_how_to_solve_traffic_jams
"
1320,"https://www.ted.com/talks/maz_jobrani_a_saudi_an_indian_and_an_iranian_walk_into_a_qatari_bar
"
1322,"https://www.ted.com/talks/ben_saunders_why_bother_leaving_the_house
"
1325,"https://www.ted.com/talks/steven_addis_a_father_daughter_bond_one_photo_at_a_time
"
1332,"https://www.ted.com/talks/sue_austin_deep_sea_diving_in_a_wheelchair
"
1333,"https://www.ted.com/talks/jarrett_j_krosoczka_how_a_boy_became_an_artist
"
1338,"https://www.ted.com/talks/cameron_russell_looks_aren_t_everything_believe_me_i_m_a_model
"
1342,"https://www.ted.com/talks/colin_powell_kids_need_structure
"
1357,"https://www.ted.com/talks/esther_perel_the_secret_to_desire_in_a_long_term_relationship
"
1389,"https://www.ted.com/talks/sanjay_dastoor_a_skateboard_with_a_boost
"
1396,"https://www.ted.com/talks/eric_dishman_health_care_should_be_a_team_sport
"
1402,"https://www.ted.com/talks/black_my_journey_to_yo_yo_mastery
"
1405,"https://www.ted.com/talks/erik_brynjolfsson_the_key_to_growth_race_em_with_em_the_machines
"
1406,"https://www.ted.com/talks/jennifer_healey_if_cars_could_talk_accidents_might_be_avoidable
"
1413,"https://www.ted.com/talks/timothy_bartik_the_economic_case_for_preschool
"
1420,"https://www.ted.com/talks/angela_lee_duckworth_grit_the_power_of_passion_and_perseverance
"
1431,"https://www.ted.com/talks/ji_hae_park_the_violin_and_my_dark_night_of_the_soul
"
1434,"https://www.ted.com/talks/hendrik_poinar_bring_back_the_woolly_mammoth
"
1435,"https://www.ted.com/talks/lisa_bu_how_books_can_open_your_mind
"
1448,"https://www.ted.com/talks/joseph_kim_the_family_i_lost_in_north_korea_and_the_family_i_gained
"
1450,"https://www.ted.com/talks/camille_seaman_photos_from_a_storm_chaser
"
1469,"https://www.ted.com/talks/tom_thum_the_orchestra_in_my_mouth
"
1481,"https://www.ted.com/talks/jinsop_lee_design_for_all_5_senses
"
1489,"https://www.ted.com/talks/may_el_khalil_making_peace_is_a_marathon
"
1490,"https://www.ted.com/talks/adam_spencer_why_i_fell_in_love_with_monster_prime_numbers
"
1496,"https://www.ted.com/talks/ron_mccallum_how_technology_allowed_me_to_read
"
1498,"https://www.ted.com/talks/apollo_robbins_the_art_of_misdirection
"
1511,"https://www.ted.com/talks/amy_webb_how_i_hacked_online_dating
"
1516,"https://www.ted.com/talks/janette_sadik_khan_new_york_s_streets_not_so_mean_any_more
"
1524,"https://www.ted.com/talks/hetain_patel_who_am_i_think_again
"
1534,"https://www.ted.com/talks/dong_woo_jang_the_art_of_bow_making
"
1540,"https://www.ted.com/talks/dambisa_moyo_is_china_the_new_idol_for_emerging_economies
"
1541,"https://www.ted.com/talks/chris_downey_design_with_the_blind_in_mind
"
1547,"https://www.ted.com/talks/henry_evans_and_chad_jenkins_meet_the_robots_for_humanity
"
1549,"https://www.ted.com/talks/peter_doolittle_how_your_working_memory_makes_sense_of_the_world
"
1550,"https://www.ted.com/talks/jared_diamond_how_societies_can_grow_old_better
"
1559,"https://www.ted.com/talks/diebedo_francis_kere_how_to_build_with_clay_and_community
"
1568,"https://www.ted.com/talks/diana_nyad_never_ever_give_up
"
1570,"https://www.ted.com/talks/maysoon_zayid_i_got_99_problems_palsy_is_just_one
"
1579,"https://www.ted.com/talks/luke_syson_how_i_learned_to_stop_worrying_and_love_useless_art
"
1589,"https://www.ted.com/talks/maya_penn_meet_a_young_entrepreneur_cartoonist_designer_activist
"
1603,"https://www.ted.com/talks/ash_beckham_we_re_all_hiding_something_let_s_find_the_courage_to_open_up
"
1609,"https://www.ted.com/talks/mary_lou_jepsen_could_future_devices_read_images_from_our_brains
"
1626,"https://www.ted.com/talks/bran_ferren_to_create_for_the_ages_let_s_combine_art_and_engineering
"
1630,"https://www.ted.com/talks/geena_rocero_why_i_must_come_out
"
1636,"https://www.ted.com/talks/amanda_burden_how_public_spaces_make_cities_work
"
1650,"https://www.ted.com/talks/elizabeth_gilbert_success_failure_and_the_drive_to_keep_creating
"
1655,"https://www.ted.com/talks/sarah_jones_what_does_the_future_hold_11_characters_offer_quirky_answers
"
1665,"https://www.ted.com/talks/rives_a_museum_of_4_o_clock_in_the_morning
"
1677,"https://www.ted.com/talks/dan_gilbert_you_are_always_changing
"
1685,"https://www.ted.com/talks/aj_jacobs_the_world_s_largest_family_reunion_we_re_all_invited
"
1688,"https://www.ted.com/talks/ruth_chang_how_to_make_hard_choices
"
1694,"https://www.ted.com/talks/ge_wang_the_diy_orchestra_of_the_future
"
1698,"https://www.ted.com/talks/simon_anholt_which_country_does_the_most_good_for_the_world
"
1705,"https://www.ted.com/talks/david_kwong_two_nerdy_obsessions_meet_and_it_s_magic
"
1708,"https://www.ted.com/talks/shih_chieh_huang_sculptures_that_d_be_at_home_at_the_bottom_of_the_ocean
"
1732,"https://www.ted.com/talks/isabel_allende_how_to_live_passionately_no_matter_your_age
"
1753,"https://www.ted.com/talks/daria_van_den_bercken_why_i_take_the_piano_on_the_road_and_in_the_air
"
1754,"https://www.ted.com/talks/thomas_piketty_new_thoughts_on_capital_in_the_twenty_first_century
"
1771,"https://www.ted.com/talks/frans_lanting_photos_that_give_voice_to_the_animal_kingdom
"
1783,"https://www.ted.com/talks/vincent_moon_and_nana_vasconcelos_the_world_s_hidden_music_rituals
"
1784,"https://www.ted.com/talks/david_grady_how_to_save_the_world_or_at_least_yourself_from_bad_meetings
"
1788,"https://www.ted.com/talks/rosie_king_how_autism_freed_me_to_be_myself
"
1804,"https://www.ted.com/talks/carol_dweck_the_power_of_believing_that_you_can_improve
"
