,Source (B)
0,"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
"
2,"https://www.ted.com/talks/david_pogue_says_simplicity_sells
"
8,"https://www.ted.com/talks/dan_dennett_s_response_to_rick_warren
"
14,"https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child
"
16,"https://www.ted.com/talks/jennifer_lin_improvs_piano_magic
"
19,"https://www.ted.com/talks/jimmy_wales_on_the_birth_of_wikipedia
"
20,"https://www.ted.com/talks/richard_baraniuk_on_open_source_learning
"
21,"https://www.ted.com/talks/ze_frank_s_nerdcore_comedy
"
28,"https://www.ted.com/talks/malcolm_gladwell_on_spaghetti_sauce
"
29,"https://www.ted.com/talks/dan_gilbert_asks_why_are_we_happy
"
43,"https://www.ted.com/talks/michael_shermer_on_believing_strange_things
"
47,"https://www.ted.com/talks/richard_st_john_s_8_secrets_of_success
"
48,"https://www.ted.com/talks/rives_controls_the_internet
"
68,"https://www.ted.com/talks/al_seckel_says_our_brains_are_mis_wired
"
79,"https://www.ted.com/talks/janine_benyus_shares_nature_s_designs
"
82,"https://www.ted.com/talks/susan_savage_rumbaugh_on_apes_that_write
"
93,"https://www.ted.com/talks/eddi_reader_sings_about_what_you_ve_got
"
96,"https://www.ted.com/talks/tom_rielly_delivers_a_comic_send_up_of_ted2006
"
97,"https://www.ted.com/talks/thomas_dolby_and_rachelle_garniez
"
100,"https://www.ted.com/talks/sergey_brin_and_larry_page_on_google
"
109,"https://www.ted.com/talks/ngozi_okonjo_iweala_on_doing_business_in_africa
"
115,"https://www.ted.com/talks/hans_rosling_reveals_new_insights_on_poverty
"
123,"https://www.ted.com/talks/david_bolinsky_animates_a_cell
"
127,"https://www.ted.com/talks/william_kamkwamba_on_building_a_windmill
"
131,"https://www.ted.com/talks/jacqueline_novogratz_on_patient_capitalism
"
136,"https://www.ted.com/talks/andrew_mwenda_takes_a_new_look_at_africa
"
137,"https://www.ted.com/talks/theo_jansen_creates_new_creatures
"
148,"https://www.ted.com/talks/hod_lipson_builds_self_aware_robots
"
149,"https://www.ted.com/talks/maira_kalman_the_illustrated_woman
"
150,"https://www.ted.com/talks/jan_chipchase_on_our_mobile_phones
"
154,"https://www.ted.com/talks/matthieu_ricard_on_the_habits_of_happiness
"
161,"https://www.ted.com/talks/ron_eglash_on_african_fractals
"
162,"https://www.ted.com/talks/philippe_starck_thinks_deep_on_design
"
164,"https://www.ted.com/talks/amory_lovins_on_winning_the_oil_endgame
"
165,"https://www.ted.com/talks/arthur_benjamin_does_mathemagic
"
168,"https://www.ted.com/talks/gever_tulley_on_5_dangerous_things_for_kids
"
169,"https://www.ted.com/talks/isabel_allende_tells_tales_of_passion
"
170,"https://www.ted.com/talks/yossi_vardi_fights_local_warming
"
172,"https://www.ted.com/talks/j_j_abrams_mystery_box
"
173,"https://www.ted.com/talks/david_gallo_shows_underwater_astonishments
"
174,"https://www.ted.com/talks/paola_antonelli_treats_design_as_art
"
191,"https://www.ted.com/talks/the_raspyni_brothers_juggle_and_jest
"
211,"https://www.ted.com/talks/johnny_lee_demos_wii_remote_hacks
"
212,"https://www.ted.com/talks/tod_machover_and_dan_ellsey_play_new_music
"
214,"https://www.ted.com/talks/ernest_madu_on_world_class_health_care
"
227,"https://www.ted.com/talks/yves_behar_on_designing_objects_that_tell_stories
"
238,"https://www.ted.com/talks/robert_full_on_engineering_and_evolution
"
