WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,comments,duration,views
2149,65.42,76.46,51.77,72.78,19.19,16.66,86.6,54.72,16.61,8.79,3.49,1.72,2.42,0.47,0.7,7.77,7.35,14.19,9.12,4.37,5.96,0.88,17.26,4.37,2.14,1.58,1.35,3.3,4.84,3.63,1.12,0.14,0.19,0.37,10.05,0.28,0.19,0.33,0.37,10.42,2.23,1.95,1.21,2.09,1.35,2.61,3.49,0.79,2.19,0.42,0.79,0.09,0.19,0,0.47,7.35,2.65,1.26,2.14,1.4,0.51,4.33,11.73,1.54,14.61,2.37,7.63,4.84,2.51,0.88,0.47,1.49,0,0.05,0.23,0,0.05,0.09,0.09,0,21.17,6.42,5.91,0.37,0.19,0.37,0.28,1.02,0.88,2.93,2.79,0,265,977,3200520
2707,58.87,61.92,49.64,49.86,25.06,20.58,88.92,57.81,13.26,5.17,0.81,2.81,1.07,0.11,0.37,8.09,8.13,14.67,9.31,7.17,9.05,1.81,15.55,5.58,2.84,1.33,1.99,2.73,4.47,2.88,1.59,0.41,0.18,0.26,5.98,0,0,0,0.11,15.4,3.36,2.25,1.96,3.07,2.4,4.21,2.73,1.7,0.66,0.3,0.66,0.18,0.37,0,0.04,8.31,2.99,1.92,1.74,0.81,1.26,2.22,12.52,1.22,14.63,0.92,9.27,4.62,2.03,0.07,0.11,0.3,0.04,0.15,0.44,0,0,0.07,0.37,0,18.73,4.65,8.09,0.22,0.04,0.41,0.04,0.81,0.59,3.07,0.81,0,184,1140,1096862
2316,88.78,59.55,52.49,35.58,24.12,24.48,81,52.33,11.31,5.09,2.2,1.99,0.35,0,0.56,6.22,8.38,17.06,7.47,4.49,5.79,0.3,12.52,4.92,2.03,1.04,2.98,2.5,2.72,1.6,1.04,0.04,0.17,0.35,4.62,0,0.04,0,0.04,10.66,2.81,1.42,1.21,2.59,1.55,2.03,1.68,0.95,0.17,0.47,1.99,0.13,1.34,0,0.04,6.3,2.42,1.21,2.03,0.82,0.39,3.07,8.2,1.3,15.54,1.77,8.64,5.44,2.25,0.3,0.17,0.26,0.13,0.04,0.17,0,0.04,0.09,0.04,0,13.69,4.4,6.65,0.26,0.09,0.3,0.04,0.47,0.6,0.78,0.09,0,89,1355,1335732
2653,58.29,78.91,52.98,61.51,21.75,14.85,83.98,56.16,14.85,8.18,1.39,2,1.7,0.11,2.98,6.67,7.73,14.21,8.44,6.63,8.93,1.09,16.06,4.3,2.6,1.43,2.15,2.45,3.88,2.86,0.98,0.11,0.3,0.11,9.54,0.11,0.04,0.15,0.04,9.23,2.11,1.28,0.9,2.56,0.98,2.64,1.92,1.06,0.38,0.45,2.3,0.53,0.83,0.08,0.75,7.61,2.56,0.72,3.05,1.51,0.15,2.22,12.17,1.43,16.32,2.64,9.95,3.88,1.13,0.75,0.08,0.19,0.34,0.08,0.45,0.08,0,0.08,0.3,0,19.15,4.86,8.07,0.08,0.11,0.26,0.04,0.49,0.45,4.49,0.3,0,87,1001,870412
2637,54.68,81.25,24.58,63.15,14.18,18.32,83.24,51.61,15.4,8.57,2.09,3,1.9,0.3,1.29,6.83,6.33,12.67,9.9,5.08,6.86,1.06,18.58,5.04,2.39,1.67,4.51,2.84,3.79,2.84,0.87,0.38,0.15,0.08,10.09,0.23,0.15,0.19,0.3,12.17,2.35,2.43,2.05,2.2,1.71,2.96,1.9,1.06,0.49,0.3,0.8,0.11,0.49,0,0.19,8.38,3.6,1.21,2.43,1.48,0.53,3.56,12.59,1.63,11.83,2.81,5.84,3.3,3.38,0.19,0.11,2.77,0.04,0.04,0.53,0,0.08,0.15,0.3,0,21.2,7.47,5.99,0.19,0.08,0.91,0,0.95,0.46,4.7,0.38,0.08,295,1072,805111
3477,58.88,87.44,34.85,48.16,17.65,18.87,87.49,54.82,15.07,7.91,1.29,2.96,0.83,0.69,2.13,7.16,6.64,15.04,8.25,7.13,8.2,0.83,15.42,5.18,3.25,2.07,2.07,3.34,4.66,2.93,1.73,0.17,0.43,0.17,12.77,0.46,0.03,0.66,0.29,11.71,2.27,2.33,1.32,3.19,1.41,2.96,1.41,0.6,0.4,0.29,1.93,0.52,0.98,0.14,0.4,8.77,4.57,1.32,2.24,1.01,0.46,3.54,10.84,1.18,14.15,1.78,7.51,4.89,2.01,0.55,0.35,0.66,0.12,0.06,0.46,0,0.03,0.12,0.29,0,18.03,5.75,7.88,0.09,0.09,0.55,0,0.46,0.35,2.7,0.06,0.12,62,1426,556147
2624,60.19,81.99,35.37,69.58,28.22,18.56,83.84,56.97,16.65,10.18,3.54,2.71,1.49,0.3,2.13,6.48,7.09,15.28,8.92,5.49,8,0.65,15.74,3.54,2.06,1.98,1.03,1.56,2.86,2.59,0.27,0.11,0.11,0.04,11.39,0.19,0.46,0.3,0.46,8.88,2.21,1.91,1.22,1.79,0.5,2.25,2.44,1.14,0.88,0.34,0.88,0.34,0.23,0.08,0.27,8.57,4.5,1.07,2.21,1.18,0.15,3.66,10.33,0.72,12.27,2.21,7.74,2.55,3.12,1.56,0.38,0.42,0.08,0.04,0.23,0,0,0.04,0.19,0,15.62,4.46,6.97,0.04,0.15,0.11,0.04,0.34,0.38,2.29,0.84,0,61,990,398835
1071,58.02,78.09,42.04,30.5,15.52,16.25,83.57,56.86,15.03,7.1,0.65,2.33,1.87,0,2.24,7.94,6.44,14.94,8.59,6.26,8.59,1.03,15.5,2.61,1.31,1.49,2.89,4.3,2.71,1.49,1.21,0.37,0.56,0.28,8.78,0,0.19,0,0.09,12.51,2.05,2.43,1.31,2.8,2.8,3.45,1.31,0.65,0.09,0.37,1.03,0.09,0.65,0,0.28,7.38,2.61,1.03,2.89,0.56,0.75,1.77,12.7,1.4,14.94,2.15,9.71,3.45,1.49,0.19,0,0.93,0.19,0.09,0.09,0.09,0,0,0,0,16.99,6.63,5.51,0.19,0.65,0.47,0,0.65,0.37,2.33,0.19,0,103,394,555846
1499,69.33,81.43,55.39,62.46,11.9,14.88,86.19,52.23,15.68,11.41,5.07,3.94,2,0.07,0.33,4.27,6.8,14.41,9.87,3.67,4.2,1.67,17.14,4.14,2.54,1.2,4.8,2.74,4.07,3,1.07,0.27,0.27,0.33,12.27,0.93,0.13,0.6,1.67,9.21,2.33,1.67,1.4,1.73,1.07,2.54,3.07,1.27,0.8,0.6,2.4,0.27,1.27,0,0.6,8.21,4.94,1.27,1.73,0.4,0.27,2.94,13.48,0.8,13.34,2,6.67,5,1.27,1.47,0.33,0.47,0.07,0.07,0.13,0,0.07,0,0.07,0,20.68,9.94,4,1.6,0.13,0.73,0.07,0.2,0.4,2.4,1.07,0.13,143,894,751889
2751,50.76,76.31,58.45,40.11,14.95,14.21,86.7,59.87,18.5,10.25,3.82,4.18,1.42,0.18,0.65,8.22,6.98,14.25,9.2,5.53,7.67,1.02,17.41,3.09,1.31,1.82,1.82,2.8,3.09,1.93,1.13,0.22,0.07,0.44,9.01,0.22,0.18,0.15,0.36,10.98,2.07,1.2,1.09,2.4,2.65,2.58,2,0.76,0.44,0.22,2.76,0.69,0.84,0,1.24,8.47,4.43,1.13,1.67,0.98,0.69,6.76,8.14,1.24,15.09,2.8,9.27,3.09,1.53,0.33,0.36,0.18,0.04,0.22,0.47,0.04,0.04,0.15,0.22,0,16.94,6.83,6.4,0.18,0.18,0.55,0.11,0.44,0.58,1.27,0.36,0.04,103,953,843719
2654,66.47,72.91,41.23,57.11,15.43,18.8,83.57,53.17,12.58,5.31,1.06,1.58,0.9,0.04,1.73,7.27,7.57,13.75,10.14,5.84,7.01,0.75,16.69,5.73,3.13,2.19,2.26,3.05,4.3,2.98,1.32,0.19,0.38,0.26,7.72,0.19,0.3,0.04,0.19,7.99,1.09,2,0.87,1.66,0.83,2.3,1.62,0.9,0.53,0.19,0.6,0.11,0.26,0,0.19,8.33,2.49,1.51,2.94,1.77,0.45,1.96,12.92,1.85,16.13,2.79,9.38,4.3,2.19,0.26,0.38,0.9,0.11,0.23,0.45,0,0,0.15,0.3,0,19.82,7.35,7.72,0.23,0.08,0.3,0,0.45,0.68,2.75,0.23,0.04,473,1002,646378
2611,57.49,67.97,35.71,52.34,17.18,16.05,85.29,57.64,16.39,7.93,2.34,2.53,2.18,0.34,0.54,8.46,8.46,13.94,9.73,5.48,7.28,1.84,17.12,4.83,3.03,1.03,2.34,2.41,3.6,2.49,1.07,0.04,0.11,0.46,7.77,0.08,0.04,0.08,0.38,11.68,2.11,1.42,2.14,3.18,1.38,3.64,3.14,1.84,0.54,0.57,1.72,0.31,0.23,0,1,6.43,2.76,1.15,1.26,1.19,0.92,2.53,13.4,1.23,13.21,1.72,8.08,3.56,2.07,0.46,0.23,0.65,0.04,0.04,0.08,0,0,0.08,0,0,18.65,6.47,6.74,0.11,0,0.34,0,0.11,0.61,3.79,0.46,0,99,1028,679728
838,90.02,77.75,25.58,34.02,23.28,19.33,81.5,54.06,13.48,5.85,0.84,3.22,1.19,0,0.6,7.64,8.83,18.97,6.44,4.06,6.44,0.36,11.93,4.53,3.7,1.55,4.77,3.94,0.72,0.6,0.12,0,0,0,6.56,0,0.12,0,0,7.52,0.95,1.55,0.36,1.79,1.67,2.15,1.67,0.95,0.12,0.6,0.72,0.24,0,0,0.48,9.19,4.06,0.36,3.7,1.07,0.12,2.15,8.95,0.24,13.48,2.15,8.47,2.51,5.49,0.12,0,0.36,0,0,0.12,0,0.12,0,0,0,14.8,5.73,5.37,0,0.72,0,0,0.6,0,2.15,0.24,0,124,253,470615
2862,69.7,80.29,33.11,31.74,16.74,16.91,83.89,56.04,14.85,6.74,1.33,2.45,1.33,0.35,1.29,8.11,8.28,14.78,7.93,6.78,6.53,0.7,14.08,3.7,1.57,1.92,1.75,2.48,3.32,1.82,1.47,0.31,0.52,0.21,9.75,0.38,0.17,0.35,1.15,10.03,1.68,1.26,0.59,2.9,1.71,2.97,2.31,1.08,0.84,0.28,1.92,0.38,0.35,0.03,1.12,8.07,2.9,1.26,2.8,0.94,0.52,3.18,9.96,0.73,13.35,1.71,7.72,3.95,1.5,0.98,0.1,0.21,0.21,0.45,0.31,0,0,0.17,0.14,0,19.01,6.39,7.97,0.17,0.03,0.42,0.03,0.17,0.35,2.34,0.49,0.63,42,1038,397719
