,Source (B)
3,"https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal
"
4,"https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen
"
5,"https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
"
7,"https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library
"
10,"https://www.ted.com/talks/cameron_sinclair_on_open_source_architecture
"
22,"https://www.ted.com/talks/mena_trott_tours_her_blog_world
"
24,"https://www.ted.com/talks/eve_ensler_on_happiness_in_body_and_soul
"
25,"https://www.ted.com/talks/david_deutsch_on_our_place_in_the_cosmos
"
35,"https://www.ted.com/talks/sasa_vucinic_invests_in_free_press
"
39,"https://www.ted.com/talks/bono_s_call_to_action_for_africa
"
40,"https://www.ted.com/talks/edward_burtynsky_on_manufactured_landscapes
"
44,"https://www.ted.com/talks/ray_kurzweil_on_how_technology_will_transform_us
"
45,"https://www.ted.com/talks/kevin_kelly_on_how_technology_evolves
"
54,"https://www.ted.com/talks/martin_rees_asks_is_this_our_final_century
"
58,"https://www.ted.com/talks/anna_deavere_smith_s_american_character
"
59,"https://www.ted.com/talks/saul_griffith_on_everyday_inventions
"
65,"https://www.ted.com/talks/jane_goodall_on_what_separates_us_from_the_apes
"
67,"https://www.ted.com/talks/james_watson_on_how_he_discovered_dna
"
69,"https://www.ted.com/talks/dean_kamen_on_inventing_and_giving
"
72,"https://www.ted.com/talks/alex_steffen_sees_a_sustainable_future
"
73,"https://www.ted.com/talks/thom_mayne_on_architecture_as_connection
"
74,"https://www.ted.com/talks/chris_bangle_says_great_cars_are_art
"
76,"https://www.ted.com/talks/paul_bennett_finds_design_in_the_details
"
84,"https://www.ted.com/talks/sheila_patek_clocks_the_fastest_animals
"
87,"https://www.ted.com/talks/dan_dennett_on_our_consciousness
"
94,"https://www.ted.com/talks/tom_honey_on_god_and_the_tsunami
"
98,"https://www.ted.com/talks/chris_anderson_of_wired_on_tech_s_long_tail
"
102,"https://www.ted.com/talks/james_howard_kunstler_dissects_suburbia
"
103,"https://www.ted.com/talks/david_kelley_on_human_centered_design
"
105,"https://www.ted.com/talks/jeff_hawkins_on_how_brain_science_will_change_computing
"
106,"https://www.ted.com/talks/tierney_thys_swims_with_the_giant_sunfish
"
110,"https://www.ted.com/talks/anand_agarawala_demos_his_bumptop_desktop
"
111,"https://www.ted.com/talks/bob_thurman_says_we_can_be_buddhas
"
112,"https://www.ted.com/talks/david_rockwell_builds_at_ground_zero
"
128,"https://www.ted.com/talks/euvin_naidoo_on_investing_in_africa
"
129,"https://www.ted.com/talks/patrick_awuah_on_educating_leaders
"
130,"https://www.ted.com/talks/chris_abani_on_the_stories_of_africa
"
134,"https://www.ted.com/talks/dean_kamen_previews_a_new_prosthetic_arm
"
141,"https://www.ted.com/talks/zeresenay_alemseged_looks_for_humanity_s_roots
"
145,"https://www.ted.com/talks/carolyn_porco_flies_us_to_saturn
"
152,"https://www.ted.com/talks/elene_gabre_madhin_on_ethiopian_economics
"
166,"https://www.ted.com/talks/daniel_goleman_on_compassion
"
167,"https://www.ted.com/talks/lakshmi_pratury_on_letter_writing
"
171,"https://www.ted.com/talks/deborah_gordon_digs_ants
"
177,"https://www.ted.com/talks/bill_strickland_makes_change_with_a_slide_show
"
180,"https://www.ted.com/talks/alison_jackson_looks_at_celebrity
"
182,"https://www.ted.com/talks/robin_chase_on_zipcar_and_her_next_big_idea
"
186,"https://www.ted.com/talks/howard_rheingold_on_collaboration
"
188,"https://www.ted.com/talks/george_dyson_on_project_orion
"
189,"https://www.ted.com/talks/moshe_safdie_on_building_uniqueness
"
190,"https://www.ted.com/talks/the_jill_and_julia_show
"
193,"https://www.ted.com/talks/steve_jurvetson_on_model_rocketry
"
199,"https://www.ted.com/talks/frank_gehry_as_a_young_rebel
"
200,"https://www.ted.com/talks/dave_eggers_makes_his_ted_prize_wish_once_upon_a_school
"
201,"https://www.ted.com/talks/karen_armstrong_makes_her_ted_prize_wish_the_charter_for_compassion
"
203,"https://www.ted.com/talks/norman_foster_s_green_agenda
"
207,"https://www.ted.com/talks/david_hoffman_shares_his_sputnik_mania
"
210,"https://www.ted.com/talks/al_gore_s_new_thinking_on_the_climate_crisis
"
216,"https://www.ted.com/talks/brian_greene_on_string_theory
"
218,"https://www.ted.com/talks/they_might_be_giants_play_at_8_30_am
"
223,"https://www.ted.com/talks/joshua_klein_on_the_intelligence_of_crows
"
224,"https://www.ted.com/talks/alisa_miller_shares_the_news_about_the_news
"
229,"https://www.ted.com/talks/dr_seyi_oyesola_tours_a_hospital_in_nigeria
"
230,"https://www.ted.com/talks/paul_collier_shares_4_ways_to_help_the_bottom_billion
"
232,"https://www.ted.com/talks/nathan_myhrvold_on_archeology_animal_photography_bbq
"
237,"https://www.ted.com/talks/dean_ornish_says_your_genes_are_not_your_fate
"
240,"https://www.ted.com/talks/steven_levitt_on_child_carseats
"
241,"https://www.ted.com/talks/benjamin_zander_on_music_and_passion
"
242,"https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child_two_years_on
"
248,"https://www.ted.com/talks/torsten_reil_studies_biology_to_make_animation
"
255,"https://www.ted.com/talks/a_j_jacobs_year_of_living_biblically
"
261,"https://www.ted.com/talks/jonathan_harris_collects_stories
"
262,"https://www.ted.com/talks/reed_kroloff_on_modern_and_romantic_architecture
"
263,"https://www.ted.com/talks/kevin_kelly_on_the_next_5_000_days_of_the_web
"
269,"https://www.ted.com/talks/david_griffin_on_how_photography_connects
"
273,"https://www.ted.com/talks/john_walker_re_creates_great_performances
"
274,"https://www.ted.com/talks/sugata_mitra_shows_how_kids_teach_themselves
"
280,"https://www.ted.com/talks/jonathan_drori_on_what_we_think_we_know
"
284,"https://www.ted.com/talks/david_gallo_on_life_in_the_deep_oceans
"
285,"https://www.ted.com/talks/carmen_agra_deedy_spins_stories
"
286,"https://www.ted.com/talks/keith_bellows_on_the_camel_s_hump
"
288,"https://www.ted.com/talks/jonathan_haidt_on_the_moral_mind
"
290,"https://www.ted.com/talks/david_s_rose_on_pitching_to_vcs
"
294,"https://www.ted.com/talks/caleb_chung_plays_with_pleo
"
295,"https://www.ted.com/talks/steven_pinker_chalks_it_up_to_the_blank_slate
"
301,"https://www.ted.com/talks/david_perry_on_videogames
"
305,"https://www.ted.com/talks/garrett_lisi_on_his_theory_of_everything
"
309,"https://www.ted.com/talks/john_hodgman_s_brief_digression
"
324,"https://www.ted.com/talks/james_surowiecki_on_the_turning_point_for_social_media
"
328,"https://www.ted.com/talks/lee_smolin_on_science_and_democracy
"
330,"https://www.ted.com/talks/charles_elachi_on_the_mars_rovers
"
332,"https://www.ted.com/talks/stewart_brand_on_the_long_now
"
343,"https://www.ted.com/talks/nick_sears_demos_the_orb
"
350,"https://www.ted.com/talks/penelope_boston
"
351,"https://www.ted.com/talks/steven_strogatz_on_sync
"
352,"https://www.ted.com/talks/nicholas_negroponte_takes_olpc_to_colombia
"
354,"https://www.ted.com/talks/kary_mullis_on_what_scientists_do
"
