WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,comments,duration,views
3162,40.85,90.46,29.34,78.03,15.35,16,91.49,58.89,18.72,12.11,2.47,2.53,2.56,2.72,1.83,6.61,7.46,12.84,11.86,5.06,6.61,2.25,20.65,3.26,1.52,2.09,1.64,1.8,4.97,3.86,1.01,0.35,0.09,0.09,16.22,0.44,0.03,2.44,1.3,11.83,2.78,1.74,2.06,2.12,1.61,3.51,3.98,0.79,2.97,0.13,1.64,0.73,0.44,0.03,0.35,8.16,3.29,1.11,2.94,0.82,0.44,6.17,12.75,1.14,13.76,2.4,7.5,3.89,3.23,1.42,0.41,0.09,0.13,0,0.22,0,0,0.06,0.06,0.09,26.06,7.08,7.59,0.13,0.35,1.23,0.06,0.47,2.21,4.21,2.72,0,4553,1164,47227110
4298,16.85,86.5,46.5,63.26,13.73,15.4,93.11,58.7,22.29,13.63,4.23,1.79,5.35,0.98,1.28,8.66,5.77,9.73,11.73,5.63,7.91,2.33,21.99,3.77,2.14,3.68,2.7,2.14,5.72,3.61,1.63,0.3,0.58,0.33,15.77,0.3,0.21,0.54,0.95,16.94,3.49,2.98,2.65,3.96,2.09,4.96,2.37,0.42,1.33,0.47,1.91,0.44,0.91,0.05,0.26,7.84,2.77,1.81,1.65,2.14,0.28,4.93,15.91,1.3,11.42,2.09,5.12,4.4,1.88,0.72,0.26,0.49,0.51,0.23,0.51,0.37,0.02,0.09,0.05,0,25.5,6.89,8.38,0.65,0.14,1.7,0.09,0.14,1.49,4.79,1.16,0.07,672,1305,20685401
2974,22.69,65.06,67.19,78.7,20.8,13.32,91.9,57.7,20.44,13.95,7.36,0.84,1.98,1.38,2.39,6.49,4.67,11.13,7.87,7.2,9.78,1.95,17.96,3.19,1.34,1.75,1.55,2.96,6.12,4.51,1.61,0.34,0.3,0.24,13.95,1.01,0.4,1.11,1.82,13.32,3.73,1.58,1.51,2.29,2.39,3.6,4.47,0.61,3.3,0.4,1.41,0.5,0.27,0.07,0.34,6.56,2.12,0.84,2.52,1.08,0.34,9.31,7.33,0.74,11.87,1.45,4.57,6.15,0.74,0.5,0.61,0.3,2.15,0.27,1.75,0,0.1,0.57,0.98,0.03,26.19,4.88,9.89,0.24,0,1.24,0.13,0.34,4.37,2.82,2.29,0,919,992,3769987
3327,60.26,75.63,38.23,43.88,22.33,19.09,86.93,57.89,16.29,7.06,1.17,2.86,1.23,0.12,1.68,9.23,9.44,13.44,8.96,6.49,7.51,0.93,15.18,3.34,1.8,1.26,1.74,1.89,2.19,1.59,0.6,0.06,0.12,0.15,8.15,0.03,0,0.09,0.06,10.43,1.53,1.38,1.5,2.31,1.41,3.16,2.43,1.41,0.57,0.39,0.9,0.24,0.54,0,0.15,7.33,3.31,1.5,1.8,0.81,0.21,3.25,10.61,1.41,14.97,2.22,9.17,3.91,3.16,1.92,0.57,0.57,0.03,0.03,0.21,0.03,0,0.15,0.03,0,17.58,5.38,6.76,0.21,0.33,0.06,0.03,0.87,0.54,2.43,0.42,0.54,46,1198,967741
3440,22.41,74.36,60.63,63.25,14.45,12.01,92.97,61.08,23.11,13.9,6.13,1.02,4.83,1.6,0.32,9.22,6.13,12.09,11.51,5.41,7.24,2.53,22.7,2.76,2.01,2.99,1.45,2.7,3.08,2.53,0.55,0.03,0.03,0.15,12.94,0.38,0.12,0.23,1.74,13.66,3.4,2.5,1.4,2.73,1.72,3.55,2.94,1.02,1.34,0.55,1.72,0.47,1.05,0.09,0.15,8.14,1.89,1.31,3.49,1.89,0.26,4.53,15.84,1.31,12.53,2.03,6.42,4.3,1.92,0.96,0.26,1.34,1.66,0.17,0.47,0.03,0.03,0.15,0.26,0,26.6,6.45,9.22,0.41,0.26,1.31,0.06,0.44,3.02,5.29,0.12,0.03,900,1262,3095993
3817,50.87,77.55,22.03,73.25,19.98,17.58,86.43,57.45,15.61,6.84,1.86,2.57,1.05,0.5,0.86,8.78,8.88,12.76,10.37,7.02,7.78,1.49,18.31,3.8,1.94,2.25,1.62,3.41,3.72,3.12,0.58,0.18,0.29,0.05,10.69,0,0.05,0.13,0.42,12.68,1.83,2.28,1.13,2.88,2.25,3.33,2.38,1.02,1.05,0.26,0.37,0.08,0.08,0.05,0.16,8.93,3.82,1.07,2.91,1.39,0.21,3.33,14.23,1.1,10.98,1.96,5.61,3.51,3.3,0.6,0.03,0.42,0.05,0.03,0.55,0.05,0,0.21,0.29,0,18.97,5.58,5.84,0.26,0.08,0.5,0,0.71,1.62,4.01,0.37,0,84,1201,1106561
2455,48.64,66.42,47.95,96.8,22.73,18.09,88.51,54.05,18.37,10.75,5.82,0.69,2.93,0.57,0.73,7.58,6.15,12.95,9.08,5.25,6.48,1.34,18.7,3.83,2.04,1.51,1.83,1.75,8.68,6.8,1.79,0.24,0.77,0.37,11.16,0.49,0.24,0.2,1.06,12.18,3.01,1.91,1.06,3.05,0.94,3.01,6.15,0.81,4.6,0.65,1.1,0.37,0.24,0.29,0.12,6.84,2,1.14,2.12,1.43,0.49,3.5,12.71,0.98,10.47,1.83,5.13,3.67,1.63,1.75,0.2,1.38,0.2,0.37,1.59,0.37,0.08,0.45,0.69,0.04,32.87,6.68,8.55,0.37,0.16,0.94,0.24,0.37,2.12,3.83,8.15,1.47,185,1136,6141440
3047,10.44,64.6,36.12,60.61,19.66,13.39,93.14,62.72,24.94,14.01,7.68,1.08,1.87,2.63,0.75,10.93,4.99,10.4,11.85,6.33,9.39,1.44,20.71,2.86,1.05,2.13,1.84,1.81,4.14,2.89,1.05,0.26,0.36,0.2,12.83,1.18,0.16,1.64,1.87,10.14,1.87,1.94,1.18,1.9,1.38,2.79,2.99,1.31,1.35,0.23,0.89,0.2,0.62,0,0.07,5.55,1.97,1.05,1.74,1.41,0.23,5.68,12.6,1.12,10.34,1.54,4.14,4.66,2.36,2.33,0.43,0.75,0.23,0.2,0.39,0.13,0,0.07,0.16,0.03,21.46,5.97,8.2,0.26,0.3,0.46,0,0.26,1.38,3.54,0.98,0.1,50,1006,518624
4007,70.89,78.86,34.71,45.48,25.2,13.7,90.84,57.2,14.23,7.06,1.6,0.67,2.3,1.1,1.4,7.16,9.81,14.47,9.38,6.71,5.64,1.57,17.84,4.02,2.37,2.2,1.65,2.45,4.39,2.67,1.6,0.12,0.55,0.22,11.95,0.05,2.02,0.1,1.47,11.8,2.12,1.55,1.65,3.09,1.4,3.44,2.27,1.05,0.92,0.1,1.35,0.35,0.77,0.1,0.15,9.56,2.99,1.5,3.14,2.02,0.72,5.57,9.78,1.07,14.23,2.27,8.51,3.54,3.09,0.57,0.4,2.35,0.05,0.62,0.82,0.3,0.17,0.07,0.22,0,19.52,4.92,7.59,0.32,0.15,0.42,0,0.85,0.85,3.12,1.12,0.17,95,1275,2863214
3044,58.15,87.75,9.62,77.22,16.82,15.41,86.7,54.27,16.85,9.59,1.38,1.45,2.4,2.3,2.07,7.19,6.67,13.21,8.44,4.53,7.03,1.08,17.15,5.49,2.14,2.5,2.53,2.92,4.6,3.68,0.89,0.3,0.13,0.03,12.61,0.03,0.03,0.2,2.27,12.12,2.46,1.97,2.2,2.33,1.91,2.37,3.38,1.25,1.51,0.07,4.66,0.1,0.59,0,4.01,6.11,1.81,0.62,2.23,1.38,0.3,5.06,10.55,0.53,11.47,1.38,7.06,3.19,1.61,0.95,0.2,0.62,0.07,0.03,0.26,0,0.03,0.03,0.16,0.03,21.48,5.49,8.21,0.23,0.3,1.02,0.59,0.36,2.1,2.17,0.99,0.03,355,1050,7023562
