,Source (B)
504,"https://www.ted.com/talks/bjarke_ingels_3_warp_speed_architecture_tales
"
506,"https://www.ted.com/talks/oliver_sacks_what_hallucination_reveals_about_our_minds
"
512,"https://www.ted.com/talks/jacqueline_novogratz_a_third_way_to_think_about_aid
"
516,"https://www.ted.com/talks/garik_israelian_what_s_inside_a_star
"
524,"https://www.ted.com/talks/david_hanson_robots_that_relate_to_you
"
526,"https://www.ted.com/talks/henry_markram_supercomputing_the_brain_s_secrets
"
529,"https://www.ted.com/talks/paul_debevec_animates_a_photo_real_digital_face
"
531,"https://www.ted.com/talks/marc_koska_the_devastating_toll_of_syringe_reuse
"
534,"https://www.ted.com/talks/rachel_armstrong_architecture_that_repairs_itself
"
549,"https://www.ted.com/talks/magnus_larsson_turning_dunes_into_architecture
"
551,"https://www.ted.com/talks/shashi_tharoor
"
558,"https://www.ted.com/talks/marc_pachter_the_art_of_the_interview
"
559,"https://www.ted.com/talks/thulasiraj_ravilla_how_low_cost_eye_care_can_be_world_class
"
560,"https://www.ted.com/talks/shereen_el_feki_pop_culture_in_the_arab_world
"
568,"https://www.ted.com/talks/asher_hasan_s_message_of_peace_from_pakistan
"
581,"https://www.ted.com/talks/anthony_atala_growing_organs_engineering_tissue
"
583,"https://www.ted.com/talks/joshua_prince_ramus_building_a_theater_that_remakes_itself
"
588,"https://www.ted.com/talks/jamie_heywood_the_big_idea_my_brother_inspired
"
589,"https://www.ted.com/talks/george_whitesides_a_lab_the_size_of_a_postage_stamp
"
593,"https://www.ted.com/talks/jamie_oliver
"
597,"https://www.ted.com/talks/bill_gates
"
599,"https://www.ted.com/talks/philip_howard
"
600,"https://www.ted.com/talks/eric_topol_the_wireless_future_of_medicine
"
602,"https://www.ted.com/talks/pawan_sinha_on_how_brains_learn_to_see
"
620,"https://www.ted.com/talks/juliana_machado_ferreira
"
621,"https://www.ted.com/talks/alan_siegel_let_s_simplify_legal_jargon
"
623,"https://www.ted.com/talks/robert_gupta
"
629,"https://www.ted.com/talks/elizabeth_pisani_sex_drugs_and_hiv_let_s_get_rational_1
"
630,"https://www.ted.com/talks/dean_kamen_the_emotion_behind_invention
"
639,"https://www.ted.com/talks/james_randi
"
642,"https://www.ted.com/talks/omar_ahmad_political_change_with_pen_and_paper
"
643,"https://www.ted.com/talks/kavita_ramdas_radical_women_embracing_tradition
"
646,"https://www.ted.com/talks/george_whitesides_toward_a_science_of_simplicity
"
648,"https://www.ted.com/talks/esther_duflo_social_experiments_to_fight_poverty
"
651,"https://www.ted.com/talks/anil_gupta_india_s_hidden_hotbeds_of_invention
"
654,"https://www.ted.com/talks/nathan_myhrvold_could_this_laser_zap_malaria
"
655,"https://www.ted.com/talks/enric_sala
"
658,"https://www.ted.com/talks/william_li
"
664,"https://www.ted.com/talks/johanna_blakley_lessons_from_fashion_s_free_culture
"
676,"https://www.ted.com/talks/debate_does_the_world_need_nuclear_energy
"
678,"https://www.ted.com/talks/michael_shermer_the_pattern_behind_self_deception
"
679,"https://www.ted.com/talks/margaret_stewart_how_youtube_thinks_about_copyright
"
685,"https://www.ted.com/talks/charles_leadbeater_on_education
"
687,"https://www.ted.com/talks/hillel_cooperman_legos_for_grownups
"
698,"https://www.ted.com/talks/matt_ridley_when_ideas_have_sex
"
702,"https://www.ted.com/talks/naif_al_mutawa_superheroes_inspired_by_islam
"
711,"https://www.ted.com/talks/jason_clay_how_big_brands_can_save_biodiversity
"
712,"https://www.ted.com/talks/sheryl_wudunn_our_century_s_greatest_injustice
"
720,"https://www.ted.com/talks/lisa_margonelli_the_political_chemistry_of_oil
"
734,"https://www.ted.com/talks/nicholas_christakis_how_social_networks_predict_epidemics
"
739,"https://www.ted.com/talks/annie_lennox_why_i_am_an_hiv_aids_activist
"
741,"https://www.ted.com/talks/julian_treasure_shh_sound_health_in_8_steps
"
745,"https://www.ted.com/talks/mechai_viravaidya_how_mr_condom_made_thailand_a_better_place
"
751,"https://www.ted.com/talks/stefano_mancuso_the_roots_of_plant_intelligence
"
754,"https://www.ted.com/talks/natalie_jeremijenko_the_art_of_the_eco_mindshift
"
757,"https://www.ted.com/talks/heribert_watzke_the_brain_in_your_gut
"
761,"https://www.ted.com/talks/r_a_mashelkar_breakthrough_designs_for_ultra_low_cost_products
"
762,"https://www.ted.com/talks/joseph_nye_on_global_power_shifts
"
767,"https://www.ted.com/talks/david_bismark_e_voting_without_fraud
"
771,"https://www.ted.com/talks/emily_pilloton_teaching_design_for_change
"
774,"https://www.ted.com/talks/auret_van_heerden_making_global_labor_fair
"
784,"https://www.ted.com/talks/dan_phillips_creative_houses_from_reclaimed_stuff
"
787,"https://www.ted.com/talks/marcel_dicke_why_not_eat_insects
"
788,"https://www.ted.com/talks/bart_weetjens_how_i_taught_rats_to_sniff_out_land_mines
"
797,"https://www.ted.com/talks/beverly_dereck_joubert_life_lessons_from_big_cats
"
811,"https://www.ted.com/talks/ali_carr_chellman_gaming_to_re_engage_boys_in_learning
"
814,"https://www.ted.com/talks/van_jones_the_economic_injustice_of_plastic
"
815,"https://www.ted.com/talks/anders_ynnerman_visualizing_the_medical_data_explosion
"
829,"https://www.ted.com/talks/mother_and_daughter_doctor_heroes_hawa_abdi_deqo_mohamed
"
830,"https://www.ted.com/talks/michael_pawlyn_using_nature_s_genius_in_architecture
"
833,"https://www.ted.com/talks/patricia_kuhl_the_linguistic_genius_of_babies
"
834,"https://www.ted.com/talks/jacqueline_novogratz_inspiring_a_life_of_immersion
"
838,"https://www.ted.com/talks/iain_hutchison_saving_faces
"
840,"https://www.ted.com/talks/danny_hillis_two_frontiers_of_cancer_treatment
"
845,"https://www.ted.com/talks/bill_gates_how_state_budgets_are_breaking_us_schools
"
850,"https://www.ted.com/talks/rob_harmon_how_the_market_can_keep_streams_flowing
"
858,"https://www.ted.com/talks/paul_root_wolpe_it_s_time_to_question_bio_engineering
"
863,"https://www.ted.com/talks/handpring_puppet_co_the_genius_puppetry_behind_war_horse
"
885,"https://www.ted.com/talks/angela_belcher_using_nature_to_grow_batteries
"
887,"https://www.ted.com/talks/arvind_gupta_turning_trash_into_toys_for_learning
"
895,"https://www.ted.com/talks/fiorenzo_omenetto_silk_the_ancient_material_of_the_future
"
900,"https://www.ted.com/talks/thomas_heatherwick
"
909,"https://www.ted.com/talks/dennis_hong_making_a_car_for_blind_drivers
"
913,"https://www.ted.com/talks/damon_horowitz
"
923,"https://www.ted.com/talks/onyx_ashanti_this_is_beatjazz
"
931,"https://www.ted.com/talks/rajesh_rao_computing_a_rosetta_stone_for_the_indus_script
"
935,"https://www.ted.com/talks/nathan_myhrvold_cut_your_food_in_half
"
936,"https://www.ted.com/talks/jonathan_drori_the_beautiful_tricks_of_flowers
"
938,"https://www.ted.com/talks/nina_tandon_caring_for_cells
"
939,"https://www.ted.com/talks/rebecca_mackinnon_let_s_take_back_the_internet
"
948,"https://www.ted.com/talks/geoffrey_west_the_surprising_math_of_cities_and_corporations
"
949,"https://www.ted.com/talks/paul_bloom_the_origins_of_pleasure
"
955,"https://www.ted.com/talks/jessica_green_are_we_filtering_the_wrong_microbes
"
959,"https://www.ted.com/talks/dyan_denapoli_the_great_penguin_rescue
"
961,"https://www.ted.com/talks/lucianne_walkowicz_finding_planets_around_other_stars
"
966,"https://www.ted.com/talks/skylar_tibbits_can_we_make_things_that_make_themselves
"
968,"https://www.ted.com/talks/edward_tenner_unintended_consequences
"
973,"https://www.ted.com/talks/misha_glenny_hire_the_hackers
"
975,"https://www.ted.com/talks/richard_resnick_welcome_to_the_genomic_revolution
"
981,"https://www.ted.com/talks/sunni_brown
"
985,"https://www.ted.com/talks/ben_goldacre_battling_bad_science
"
994,"https://www.ted.com/talks/ian_ritchie_the_day_i_turned_down_tim_berners_lee
"
997,"https://www.ted.com/talks/bunker_roy
"
1000,"https://www.ted.com/talks/todd_kuiken_a_prosthetic_arm_that_feels
"
1004,"https://www.ted.com/talks/jay_bradner_open_source_cancer_research
"
1014,"https://www.ted.com/talks/ben_kacyra_ancient_wonders_captured_in_3d
"
1015,"https://www.ted.com/talks/allan_jones_a_map_of_the_brain
"
1020,"https://www.ted.com/talks/cynthia_kenyon_experiments_that_hint_of_longer_lives
"
1023,"https://www.ted.com/talks/peter_fankhauser_meet_rezero_the_dancing_ballbot
"
1030,"https://www.ted.com/talks/charles_limb_building_the_musical_muscle
"
1034,"https://www.ted.com/talks/luis_von_ahn_massive_scale_online_collaboration
"
1035,"https://www.ted.com/talks/cheryl_hayashi_the_magnificence_of_spider_silk
"
1041,"https://www.ted.com/talks/homaro_cantu_ben_roche_cooking_as_alchemy
"
1045,"https://www.ted.com/talks/sheila_nirenberg_a_prosthetic_eye_to_treat_blindness
"
1046,"https://www.ted.com/talks/daniel_goldstein_the_battle_between_your_present_and_future_self
"
1047,"https://www.ted.com/talks/karen_tse_how_to_stop_torture
"
1053,"https://www.ted.com/talks/tyler_cowen_be_suspicious_of_stories
"
1059,"https://www.ted.com/talks/alain_de_botton_atheism_2_0
"
1061,"https://www.ted.com/talks/defend_our_freedom_to_share_or_why_sopa_is_a_bad_idea
"
1063,"https://www.ted.com/talks/bilal_bomani_plant_fuels_that_could_power_a_jet
"
1071,"https://www.ted.com/talks/bill_doyle_treating_cancer_with_electric_fields
"
1073,"https://www.ted.com/talks/erica_frenkel_the_universal_anesthesia_machine
"
1086,"https://www.ted.com/talks/paul_conneally_digital_humanitarianism
"
1093,"https://www.ted.com/talks/avi_rubin_all_your_devices_can_be_hacked
"
1097,"https://www.ted.com/talks/peter_diamandis_abundance_is_our_future
"
1099,"https://www.ted.com/talks/vijay_kumar_robots_that_fly_and_cooperate
"
1104,"https://www.ted.com/talks/jennifer_pahlka_coding_a_better_government
"
1108,"https://www.ted.com/talks/rob_reid_the_8_billion_ipod
"
1111,"https://www.ted.com/talks/noel_bairey_merz_the_single_biggest_health_threat_women_face
"
1115,"https://www.ted.com/talks/rob_reid_the_8_billion_ipod
"
1117,"https://www.ted.com/talks/peter_saul_let_s_talk_about_dying
"
1120,"https://www.ted.com/talks/leymah_gbowee_unlock_the_intelligence_passion_greatness_of_girls
"
1121,"https://www.ted.com/talks/ayah_bdeir_building_blocks_that_blink_beep_and_teach
"
1125,"https://www.ted.com/talks/chip_kidd_designing_books_is_no_laughing_matter_ok_it_is
"
1130,"https://www.ted.com/talks/frans_de_waal_do_animals_have_morals
"
1132,"https://www.ted.com/talks/tal_golesworthy_how_i_repaired_my_own_heart
"
1134,"https://www.ted.com/talks/atul_gawande_how_do_we_heal_medicine
"
1142,"https://www.ted.com/talks/nancy_lublin_texting_that_saves_lives
"
1144,"https://www.ted.com/talks/brenda_brathwaite_gaming_for_understanding
"
1145,"https://www.ted.com/talks/liz_diller_a_giant_bubble_for_debate
"
1156,"https://www.ted.com/talks/bart_knols_cheese_dogs_and_pills_to_end_malaria
"
1160,"https://www.ted.com/talks/carl_schoonover_how_to_look_inside_the_brain
"
1169,"https://www.ted.com/talks/ken_goldberg_4_lessons_from_robots_about_being_human
"
1170,"https://www.ted.com/talks/william_noel_revealing_the_lost_codex_of_archimedes
"
1175,"https://www.ted.com/talks/david_birch_identity_without_a_name
"
1176,"https://www.ted.com/talks/juan_enriquez_will_our_kids_be_a_different_species
"
1178,"https://www.ted.com/talks/terry_moore_why_is_x_the_unknown
"
1181,"https://www.ted.com/talks/ami_klin_a_new_way_to_diagnose_autism
"
1182,"https://www.ted.com/talks/john_hockenberry_we_are_all_designers
"
1184,"https://www.ted.com/talks/beeban_kidron_the_shared_wonder_of_film
"
1190,"https://www.ted.com/talks/ivan_oransky_are_we_over_medicalized
"
1191,"https://www.ted.com/talks/marco_tempest_the_electric_rise_and_fall_of_nikola_tesla
"
1198,"https://www.ted.com/talks/massimo_banzi_how_arduino_is_open_sourcing_imagination
"
1204,"https://www.ted.com/talks/cesar_harada_a_novel_idea_for_cleaning_up_oil_spills
"
1213,"https://www.ted.com/talks/mina_bissell_experiments_that_point_to_a_new_understanding_of_cancer
"
1215,"https://www.ted.com/talks/baba_shiv_sometimes_it_s_good_to_give_up_the_driver_s_seat
"
1218,"https://www.ted.com/talks/john_graham_cumming_the_greatest_machine_that_never_was
"
1219,"https://www.ted.com/talks/vinay_venkatraman_technology_crafts_for_the_digitally_underserved
"
1220,"https://www.ted.com/talks/james_stavridis_how_nato_s_supreme_commander_thinks_about_global_security
"
1228,"https://www.ted.com/talks/daphne_koller_what_we_re_learning_from_online_education
"
1232,"https://www.ted.com/talks/margaret_heffernan_dare_to_disagree
"
1233,"https://www.ted.com/talks/max_little_a_test_for_parkinson_s_with_a_phone_call
"
1235,"https://www.ted.com/talks/kirby_ferguson_embrace_the_remix
"
1238,"https://www.ted.com/talks/ivan_krastev_can_democracy_exist_without_trust
"
1240,"https://www.ted.com/talks/jon_ronson_strange_answers_to_the_psychopath_test
"
1241,"https://www.ted.com/talks/timothy_prestero_design_for_people_not_awards
"
1243,"https://www.ted.com/talks/robert_neuwirth_the_power_of_the_informal_economy
"
1244,"https://www.ted.com/talks/shyam_sankar_the_rise_of_human_computer_cooperation
"
1246,"https://www.ted.com/talks/jonathan_trent_energy_from_floating_algae_pods
"
1248,"https://www.ted.com/talks/scott_fraser_the_problem_with_eyewitness_testimony
"
1262,"https://www.ted.com/talks/read_montague_what_we_re_learning_from_5_000_brains
"
1263,"https://www.ted.com/talks/clay_shirky_how_the_internet_will_one_day_transform_government
"
1269,"https://www.ted.com/talks/robert_gupta_between_music_and_medicine
"
1271,"https://www.ted.com/talks/shimon_schocken_the_self_organizing_computer_course
"
1279,"https://www.ted.com/talks/john_wilbanks_let_s_pool_our_medical_data
"
1281,"https://www.ted.com/talks/heather_brooke_my_battle_to_expose_government_corruption
"
1290,"https://www.ted.com/talks/emma_teeling_the_secret_of_the_bat_genome
"
1301,"https://www.ted.com/talks/leah_buechley_how_to_sketch_with_electronics
"
1311,"https://www.ted.com/talks/munir_virani_why_i_love_vultures
"
1315,"https://www.ted.com/talks/jeff_smith_lessons_in_business_from_prison
"
1316,"https://www.ted.com/talks/nina_tandon_could_tissue_engineering_mean_personalized_medicine
"
1318,"https://www.ted.com/talks/ellen_t_hoen_pool_medical_patents_save_lives
"
1319,"https://www.ted.com/talks/markham_nolan_how_to_separate_fact_and_fiction_online
"
1324,"https://www.ted.com/talks/molly_crockett_beware_neuro_bunk
"
1334,"https://www.ted.com/talks/boghuma_kabisen_titanji_ethical_riddles_in_hiv_research
"
1340,"https://www.ted.com/talks/colin_stokes_how_movies_teach_manhood
"
1343,"https://www.ted.com/talks/steven_schwaitzberg_a_universal_translator_for_surgeons
"
1345,"https://www.ted.com/talks/wingham_rowan_a_new_kind_of_job_market
"
1348,"https://www.ted.com/talks/fahad_al_attiya_a_country_with_no_water
"
